,0
0,announcement
1,details
2,open
3,date
4,11/18/2022
5,requisition
6,number
7,prn33055b
8,title
9,systems
10,administrator
11,working
12,title
13,systems
14,administrator
15,grade
16,f
17,flsa
18,code
19,computer
20,patient
21,sensitive
22,code
23,standard
24,hours
25,week
26,40.00
27,full
28,part
29,full
30,schedule
31,summary
32,arranged
33,vp
34,area
35,u
36,u
37,academics
38,department
39,00209
40,univ
41,billing
42,oper
43,city
44,salt
45,lake
46,city
47,ut
48,recruitment
49,external
50,posting
51,rate
52,55000-66000
53,close
54,date
55,open
56,filled
57,yes
58,summary
59,university
60,billing
61,umb
62,dynamic
63,billing
64,office
65,university
66,professional
67,departments
68,eligible
69,university
70,comprehensive
71,benefit
72,includes
73,reduced
74,tuition
75,generous
76,retirement
77,contribution
78,umb
79,offers
80,hybrid
81,environment
82,career
83,growth
84,opportunities
85,care
86,information
87,field
88,summary
89,systems
90,administrator
91,primarily
92,computer
93,system
94,support
95,180
96,position
97,partner
98,systems
99,administrator
100,ii
101,senior
102,install
103,operating
104,systems
105,software
106,releases
107,system
108,upgrades
109,evaluate
110,install
111,software
112,patches
113,resolve
114,related
115,problems
116,collaborate
117,determine
118,department
119,computing
120,systems
121,improvements
122,implementation
123,currently
124,position
125,hybrid
126,position
127,approximately
128,50
129,onsite
130,50
131,must
132,demonstrate
133,potential
134,perform
135,outlined
136,position
137,1
138,provide
139,end-usersupport
140,resolving
141,directing
142,technical
143,issues
144,providing
145,technical
146,operating
147,systems
148,applications
149,2
150,using
151,servicenow
152,system
153,respond
154,incident
155,requests
156,department
157,complete
158,agreed
159,upon
160,turnaround
161,3
162,setup
163,configure
164,maintain
165,laptop
166,and/or
167,desktop
168,machines
169,role
170,specifications
171,4
172,create
173,maintain
174,user
175,accounts
176,applications
177,systems
178,used
179,department
180,5
181,diagnose
182,issues
183,hardware
184,software
185,systems
186,report
187,findings
188,collaborate
189,find
190,solutions
191,6
192,create
193,maintain
194,user
195,guides
196,tip-sheets
197,end-users
198,maintain
199,related
200,information
201,log
202,7
203,assist
204,monitoring
205,verifying
206,compliance
207,network
208,hardware
209,security
210,8
211,participate
212,planning
213,execution
214,product
215,deployment
216,and/or
217,integration
218,9
219,test
220,validate
221,installing
222,operating
223,system
224,application
225,security/performance
226,10
227,perform
228,regular
229,audits
230,hardware
231,software
232,licenses
233,users
234,11
235,complete
236,tasks
237,assigned
238,task
239,management
240,platform
241,12
242,audit
243,evaluate
244,systems
245,efficiency
246,improvements
247,diagnose
248,issues
249,hardware
250,software
251,systems
252,report
253,findings
254,involved
255,creating
256,towards
257,solution
258,13
259,create
260,maintain
261,information
262,logs
263,documentation
264,properly
265,use
266,systems
267,resources
268,disclaimer
269,designed
270,indicate
271,general
272,nature
273,level
274,performed
275,employees
276,within
277,classification
278,designed
279,contain
280,interpreted
281,comprehensive
282,inventory
283,employees
284,assigned
285,environment
286,level
287,frequency
288,typically
289,nearly
290,continuously
291,office
292,environment
293,level
294,frequency
295,may
296,nearly
297,continuously
298,sitting
299,hearing
300,listening
301,talking
302,often
303,repetitive
304,hand
305,motion
306,typing
307,walking
308,seldom
309,bending
310,reaching
311,overhead
312,requires
313,bachelor
314,degree
315,related
316,area
317,equivalency
318,least
319,2
320,years
321,field
322,related
323,area
324,must
325,demonstrate
326,potential
327,perform
328,outlined
329,position
330,preferences
331,working
332,knowledge
333,windows
334,server
335,working
336,knowledge
337,managing
338,groups
339,users
340,within
341,active
342,directory
343,write
344,scripts
345,using
346,programming
347,language
348,vb
349,js
350,python
351,c
352,working
353,knowledge
354,powershell
355,professional
356,certification
357,a+
358,ccna
359,mcsa
360,server+
361,etc
362,basic
363,sql
364,knowledge
365,build
366,strong
367,customer
368,relationships
369,deliver
370,customer-centric
371,solutions
372,anticipate
373,adopt
374,innovations
375,–
376,building/implementing
377,digital
378,technology
379,applications
380,proven
381,develop
382,deliver
383,multi-mode
384,communications
385,convey
386,clear
387,understanding
388,unique
389,different
390,audiences
391,readily
392,acts
393,face
394,challenges
395,organizes
396,efforts
397,follows
398,efforts
399,effectively
400,benefited
401,staff
402,special
403,instructions
404,summary
405,additional
406,information
407,university
408,utah
409,values
410,candidates
411,working
412,settings
413,students
414,diverse
415,backgrounds
416,possess
417,strong
418,commitment
419,improving
420,access
421,higher
422,education
423,historically
424,underrepresented
425,students
426,historically
427,underrepresented
428,groups
429,minorities
430,women
431,qualified
432,persons
433,veterans
434,encouraged
435,veterans
436,preference
437,extended
438,qualified
439,upon
440,request
441,consistent
442,university
443,policy
444,utah
445,upon
446,request
447,accommodations
448,application
449,process
450,provided
451,university
452,utah
453,action/equal
454,discriminate
455,based
456,upon
457,ethnicity
458,identity
459,expression
460,pregnancy
461,pregnancy-related
462,conditions
463,genetic
464,information
465,university
466,discriminate
467,basis
468,education
469,program
470,activity
471,operates
472,title
473,ix
474,34cfrpart
475,106
476,requirement
477,discriminate
478,education
479,programs
480,activities
481,extends
482,admission
483,inquiries
484,application
485,title
486,ix
487,regulations
488,may
489,referred
490,title
491,ix
492,coordinator
493,department
494,education
495,office
496,civil
497,rights
498,request
499,someone
500,know
501,experienced
502,discrimination
503,misconduct
504,including
505,harassment
506,may
507,contact
508,director/title
509,ix
510,coordinator
511,office
512,director/
513,title
514,ix
515,coordinator
516,office
517,oeo/aa
518,135
519,park
520,building
521,salt
522,lake
523,city
524,ut
525,84112
526,801-581-8365
527,oeo
528,utah.edu
529,online
530,reports
531,may
532,submitted
533,atoeo.utah.edu
534,inquire
535,posting
536,email
537,utah.eduor
538,call
539,801-581-2300
540,university
541,participating
542,utah
543,retirement
544,systems
545,“
546,urs
547,”
548,eligible
549,hires
550,priorursservice
551,may
552,elect
553,enroll
554,inursif
555,make
556,election
557,become
558,eligible
559,retirement
560,usually
561,first
562,contact
563,human
564,resources
565,801
566,581-7447
567,information
568,previously
569,retired
570,receiving
571,monthly
572,retirement
573,fromursare
574,subject
575,urs
576,post-retirement
577,rules
578,restrictions
579,contact
580,utah
581,retirement
582,systems
583,801
584,366-7770
585,800
586,695-4877
587,university
588,human
589,resource
590,management
591,801
592,581-7447
593,questions
594,regarding
595,post-retirement
596,rules
597,position
598,may
599,require
600,successful
601,completion
602,criminal
603,background
604,check
605,and/or
606,drug
607,screen
608,reportdeloitte
609,global
610,engine
611,deloitte
612,network
613,professionals
614,reach
615,disciplines
616,borders
617,develop
618,lead
619,global
620,initiatives
621,deliver
622,strategic
623,programs
624,unite
625,organization
626,'ll
627,identity
628,access
629,management
630,ad
631,systems
632,administrator
633,support
634,staff
635,security
636,related
637,identity
638,access
639,issues
640,application
641,user
642,identity
643,access
644,administration
645,including
646,maintaining
647,end
648,user
649,security
650,access
651,rules
652,profiles
653,multiple
654,systems
655,platforms
656,assisting
657,policies
658,procedures
659,including
660,staff
661,support
662,security
663,related
664,identity
665,access
666,incidents
667,awareness
668,working
669,incidents
670,service
671,requests
672,service
673,desk
674,within
675,sla
676,analyze
677,resolve
678,technology
679,end
680,user
681,incidents
682,standard
683,hours
684,on-call
685,rotations
686,monitor
687,issue
688,resolutions
689,collaborates
690,application
691,teams
692,vendors
693,engineers
694,necessary
695,resolve
696,issues
697,manage
698,user
699,accounts
700,access
701,permissions
702,deloitte
703,computer
704,systems
705,applications
706,reviewing
707,user
708,ids
709,access
710,request
711,forms
712,determine
713,accurate
714,complete
715,approved
716,appropriate
717,contact
718,requestor
719,manager
720,and/or
721,data
722,owner
723,necessary
724,order
725,establish
726,requested
727,access
728,notify
729,user
730,conduct
731,periodic
732,audits
733,accounts
734,access
735,performing
736,online
737,research
738,producing
739,reports
740,users
741,access
742,particular
743,systems
744,resources
745,provide
746,updated
747,user
748,listings
749,periodically
750,review
751,upon
752,request
753,management
754,data
755,owners
756,ensure
757,timely
758,removal
759,modification
760,access
761,based
762,upon
763,termination
764,listings
765,emergency
766,requests
767,change
768,request
769,forms
770,develop
771,procedural
772,documentation
773,access
774,auditing
775,purposes
776,maintain
777,access
778,request
779,audit
780,trail
781,identify
782,appropriate
783,referral
784,resource
785,groups
786,messaging
787,operations
788,applications
789,deloitte
790,technology
791,works
792,forefront
793,technology
794,development
795,processes
796,support
797,protect
798,deloitte
799,around
800,world
801,truly
802,global
803,environment
804,operate
805,``
806,''
807,rather
808,``
809,''
810,help
811,deloitte
812,deliver
813,connect
814,clients
815,communities
816,another
817,ways
818,previously
819,conceived
820,b.e
821,b.tech
822,m.c.a
823,graduation
824,degree
825,seven+
826,years
827,relevant
828,six
829,years
830,training
831,computer
832,security
833,auditing
834,user
835,accounts
836,elevated
837,accounts
838,access
839,management
840,proven
841,teamwork
842,qualities
843,emphasis
844,customer
845,service
846,building
847,organizational
848,skills
849,multitask
850,pressure
851,project
852,deadlines
853,troubleshoot
854,user
855,access
856,problems
857,determine
858,appropriate
859,corrective
860,view
861,incidents
862,problems
863,customer
864,perspective
865,taking
866,initiative
867,represent
868,customer
869,working
870,teams
871,toward
872,resolution
873,proven
874,performance
875,monitoring
876,performance
877,defined
878,service
879,level
880,agreements
881,internal
882,customers
883,internal
884,departments
885,external
886,vendors
887,dedicated
888,increasing
889,performance
890,levels
891,excellent
892,presentation
893,communications
894,skills
895,oral
896,written
897,enterprise
898,directory
899,active
900,directory
901,familiar
902,running
903,powershell
904,scripts
905,intermediate
906,ms
907,office/outlook
908,familiar
909,sap
910,hana
911,applications
912,active
913,directory
914,sharepoint
915,preferred
916,server
917,administration
918,offshore
919,nice
920,microsoft
921,identity
922,manager
923,mim
924,administration
