,0
0,adp is hiring an senior identity access management (iam) technical analyst.
1,"this position is based in alpharetta, ga and it is a hybrid role."
2,"are you looking to join a dynamic, inclusive team environment with a culture of collaboration and belonging?"
3,are you empathetic to client needs and inspired by transformation and impacting the lives of millions of people every day?
4,"well, this may be the role for you."
5,ready to design what's next?
6,"in this role, you will help build the future of our global identity and access management program; joining a global team of experts as a senior technical analyst."
7,no two days are the same.
8,"you will be working in an exciting, evolving ecosystem of digital, it and processes with real impact on security, compliance, and associate experience."
9,"you will be expected to be a proactive iam team member, influence others through indirect leadership within the iam team and support the development of security solutions to reduce risks to the enterprise."
10,"to thrive in this career, you’ll need:

5-8 years of experience working and at least 2-3 years of iam functional and technical analyst experience, working with idam platforms (sailpoint, ca, oracle, okta , or any idam tools)
be a self started, highly organized with a keen eye for detail, and strong presentation skills
functional understanding of iag capabilities, intersection with other cyber security domains, products, vendors and industry practices

like what you see?apply now!"
11,"learn more about adp at tech.adp.com/careers




a little about adp: we are a global leader in hr technology, offering the latest ai and machine learning-enhanced payroll, tax, hr, benefits, and much more."
12,"we believe our people make all the difference in cultivating an inclusive, down-to-earth culture that welcomes ideas, encourages innovation, and values belonging."
13,"a global best places to work, diversityinc® top 50 company, best ceo and company for women, lgbtq+, multicultural talent, and more, adp has a deep commitment to diversity, equity, and inclusion."
14,"learn more about adp's commitment on our youtube channel: http://adp.careers/dei_videos

what you'll do:

here's what you can expect on a typical day in the life of a senior iam technical analyst at adp."
15,a college degree is great but not required.
16,what's more important is having the skills and experience to do the job.
17,"to be successful in this role, you'll have 5-8 years of experience in the same or similar role."
18,"you'll love working here because you can:

facilitate business process design as it relates to managing identities and access privileges."
19,"experience working in an enterprise iam (identity and access management) environment, including but not limited to user lcm (lifecycle management) and provisioning, and identity governance and administration (iga) and role-based access control (rbac)
design and development of automated provisioning and reconciliation of it resources
stay current on new technologies and act as driver of innovation for the enterprise
plan and design of automation for all employees in the areas of provisioning/deprovisioning user accounts, onboarding/offboarding, job role transfer/transitions, and user access provisioning/deprovisioning
support process to regularly review and maintain backlog for technical feasibility, reusability, essential business need, supportability and priority
build the foundation for the development effort by capturing the business context - problem, current state, desired future state, objectives, business needs and impacted user groups
play a critical communications role by interacting with user (business domain) and with it and testing personnel
detailed requirements gathering and documentation preparation, which will include: developing requirements with stakeholders who have difficulty articulating them, understanding the business processes and desired outcomes
write and review business, user and non-functional/system level requirements in the form of use cases and similar structured requirements documentation
identify and document business needs using gap analysis and as is/to be documentation
design security processes and procedures in alignment with the organization's policies and security standards, regulatory requirements, and best practices as noted based on industry standards, such as nist, iso, and cobit

you'll also have:

team collaboration."
20,"courage comes from how associates are willing to have difficult conversations, speak up, be an owner, and challenge one another's ideas to net out the best solution."
21,deliver at epic scale.
22,we deliver real user outcomes using strong judgment and good instincts.
23,we're obsessed with the art of achieving simplicity with a focus on client happiness and productivity.
24,be surrounded by curious learners.
25,we align ourselves with other smart people in an environment where we grow and elevate one another to the next level.
26,"we encourage our associates to listen, stay agile, and learn from mistakes."
27,act like an owner & doer.
28,"mission-driven and committed to navigating change, you will be encouraged to take on any challenge and solve complex problems."
29,no tasks are beneath or too great for us.
30,we are hands-on and willing to master our craft.
31,give back to others.
32,always do the right thing for our clients and our community and humbly give back to the community where we live and work.
33,support our associates in times of need through adp's philanthropic foundation.
34,join a company committed to equality and equity.
35,our goal is to impact lasting change through our actions.
36,what are you waiting for?apply today!
37,"find out why people come to adp and why they stay: https://youtu.be/odb8lxbrxry

(ada version: https://youtu.be/iqjuca8sooa )




#li-ms2

explore our covid-19 page https://tech.adp.com/covid19/ to understand how adp is approaching safety, travel, the hiring interview process, and more."
38,"diversity, equity, inclusion & equal employment opportunity at adp: adp affirms that inequality is detrimental to our associates, our clients, and the communities we serve."
39,our goal is to impact lasting change through our actions.
40,"together, we unite for equality and equity."
41,"adp is committed to equal employment opportunities regardless of any protected characteristic, including race, color, genetic information, creed, national origin, religion, sex, affectional or sexual orientation, gender identity or expression, lawful alien status, ancestry, age, marital status, or protected veteran status and will not discriminate against anyone on the basis of a disability."
42,"we support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance."
43,"ethics at adp: adp has a long, proud history of conducting business with the highest ethical standards and full compliance with all applicable laws."
44,we also expect our people to uphold our values with the highest level of integrity and behave in a manner that fosters an honest and respectful workplace.
45,click https://jobs.adp.com/life-at-adp/ to learn more about adp’s culture and our full set of values.
46,"apply now: click apply now

show less 
reportour human resources department is focused on aldi’s most valuable asset: our people."
47,"with teams including administration, employee communications, payroll & benefits, human resource information systems, legal, risk & security, recruitment and training & development, hr makes sure that aldi continues to employ talented and motivated people that are focused on preserving the supportive culture we're known for."
48,"position type: full-time
work location: naperville, il
this role is eligible to participate in aldi’s hybrid work program, which allows remote work up to 3 days per week (i.e., work remotely up to 3 days per week; work in-office at least 2 days per week)


duties and responsibilities:
must be able to perform duties with or without reasonable accommodation."
49,"recommends changes to department plans based on trends, third-party vendor’s feedback, and independent research."
50,represents the department in it integration projects.
51,recommends process improvements for area of responsibility.
52,serves as a technical point-of-contact for assigned functional areas and assists subject matter experts.
53,"maintains system security setups, and creates new roles within hris systems and any additional systems used by interdependent departments ensuring access is given appropriately to new user based on security rights and needs."
54,maintains and sets up new system configurations.
55,"provides ongoing assistance to users of hris systems, and assists with developing and delivering user training."
56,ensures that required and necessary documentation is completed and properly maintained in order to provide substantiation and assist with future audits.
57,"develops and maintains standard and custom reports to meet the reporting requirements for all levels of the company, and ensures all reports are implemented in a timely manner using high quality data presented in a logical and understandable format."
58,runs periodic audits with system setups and interfaced vendors to ensure data consistency and accuracy.
59,"understands the overarching company strategy, as well as communicates and models the core values of the organization to create a proper professional workforce."
60,collaborates with team members and communicates relevant information to leadership.
61,upholds the security and confidentiality of documents and data within area of responsibility.
62,other duties as assigned.
63,"job qualifications:
aldi acts competencies:
perform within aldi acts competencies as outlined below."
64,collaborates and cooperates with team: commits to and supports a collaborative and high-performing working environment with peers and managers.
65,drives for success: seizes opportunities and proactively takes concrete actions to complete tasks.
66,goes the “extra mile” and persistently overcomes obstacles to improve outputs.
67,focuses on the customer: seeks to understand underlying customer needs to create value.
68,drives the team to maintain focus on customers.
69,"focuses on quality: takes an efficient, analytical approach to solve problems or produce outputs in an accurate and timely manner."
70,ensures quality and accuracy of results.
