,0
0,job
1,description
2,bae
3,systems
4,seeking
5,identity
6,access
7,management
8,iam
9,architect
10,report
11,directly
12,director
13,identity
14,services
15,serve
16,strategic
17,thought
18,leader
19,technical
20,expert
21,design
22,implement
23,iam
24,services
25,solutions
26,member
27,identity
28,services
29,team
30,responsible
31,next
32,generation
33,iam
34,initiatives
35,collaborating
36,vendors
37,internal
38,teams
39,design
40,comprehensive
41,modern
42,solution
43,enabling
44,bae
45,systems
46,achieve
47,goals
48,specifically
49,design
50,oversee
51,implementation
52,iam
53,solutions
54,well
55,responsible
56,safeguarding
57,information
58,assets
59,identifying
60,solving
61,potential
62,actual
63,problems
64,creating
65,complex
66,security
67,structures
68,ensuring
69,success
70,position
71,requires
72,significant
73,experience
74,two
75,iam
76,related
77,architectures
78,iam
79,identity
80,governance
81,federation
82,services
83,pam
84,pki
85,mfa
86,directory
87,services
88,along
89,demonstrated
90,technical
91,expertise
92,candidate
93,excellent
94,interpersonal
95,communication
96,skills
97,able
98,exercise
99,influence
100,mentor
101,others
102,identify/drive
103,solutions
104,solve
105,highly
106,complex
107,technical
108,problems
109,responsibilities
110,serve
111,subject
112,matter
113,expert
114,sma
115,development
116,iam
117,solutions
118,develops
119,working
120,relationship
121,engineering
122,staff
123,drive
124,solution
125,features
126,architectures
127,collaborates
128,across
129,bae
130,systems
131,leverage
132,discriminators
133,existing
134,solutions
135,applicable
136,collaborate
137,business
138,technical
139,teams
140,research
141,plan
142,design
143,robust
144,‘
145,best
146,class
147,iam
148,architecture
149,aligns
150,integrates
151,enterprise
152,level
153,efforts
154,regularly
155,review
156,existing
157,iam
158,services
159,ensure
160,solutions
161,optimized
162,highest
163,level
164,service
165,provide
166,architectural
167,design
168,guidance
169,oversight
170,projects
171,require
172,iam
173,services
174,work
175,collaboratively
176,develop
177,iam
178,requirements
179,enterprise
180,level
181,applications
182,networking
183,work
184,governance
185,compliance
186,develop
187,standards
188,best
189,practices
190,aspects
191,iam
192,well
193,identifying
194,communicating
195,risks
196,associated
197,iam
198,services
199,compliance
200,perspective
201,experience
202,working
203,translating
204,organizing
205,architectural
206,design
207,specific
208,work
209,components
210,projects
211,possesses
212,advanced
213,listening
214,skills
215,advanced
216,problem
217,solving
218,root
219,cause
220,analysis
221,resolution
222,skills
223,required
224,education
225,experience
226,skills
227,associate
228,degree
229,information
230,technology
231,computer
232,science
233,12+
234,years
235,experience
236,bachelor
237,degree
238,information
239,technology
240,computer
241,science
242,10+
243,years
244,experience
245,demonstrated
246,experience
247,evaluating
248,architecting
249,complex
250,technical
251,iam
252,solutions
253,experience
254,supporting
255,large-scale
256,iam
257,environments
258,ability
259,think
260,strategically
261,communicate
262,effectively
263,senior
264,levels
265,company
266,communicate
267,value
268,benefit
269,iam
270,solutions
271,preferred
272,education
273,experience
274,skills
275,knowledge
276,experience
277,agile
278,project
279,management
280,methodologies
281,architectural
282,knowledge
283,identity
284,access
285,data
286,correlation
287,normalization
288,building
289,cohesive
290,identity
291,access
292,data
293,models
294,large
295,enterprises
296,demonstrated
297,experience
298,complex
299,iam
300,integration
301,service
302,delivery
303,use
304,cases
305,requirements
306,bae
307,systems
308,inc.
309,bae
310,systems
311,inc.
312,u.s.
313,subsidiary
314,bae
315,systems
316,plc
317,international
318,defense
319,aerospace
320,security
321,company
322,delivers
323,full
324,range
325,products
326,services
327,air
328,land
329,naval
330,forces
331,well
332,advanced
333,electronics
334,security
335,information
336,technology
337,solutions
338,customer
339,support
340,services
341,improving
342,future
343,protecting
344,lives
345,ambitious
346,mission
347,bae
348,systems
349,working
350,means
351,using
352,passion
353,ingenuity
354,counts
355,–
356,defending
357,national
358,security
359,breakthrough
360,technology
361,superior
362,products
363,intelligence
364,solutions
365,develop
366,latest
367,technology
368,defend
369,national
370,security
371,continually
372,hone
373,skills
374,team—making
375,big
376,impact
377,global
378,scale
379,bae
380,systems
381,find
382,rewarding
383,career
384,truly
385,makes
386,difference
387,commitment
388,diversity
389,equity
390,inclusion
391,bae
392,systems
393,work
394,hard
395,every
396,day
397,nurture
398,inclusive
399,culture
400,employees
401,valued
402,feel
403,like
404,belong
405,conscious
406,need
407,employees
408,see
409,reflected
410,every
411,level
412,company
413,know
414,order
415,unlock
416,full
417,potential
418,workforce
419,everyone
420,must
421,feel
422,confident
423,best
424,sincere
425,self
426,equipped
427,thrive
428,provide
429,impactful
430,professional
431,development
432,experiences
433,employees
434,invest
435,social
436,impact
437,partnerships
438,uplift
439,communities
440,drive
441,purposeful
442,change
443,find
444,significant
445,opportunities
446,meaningful
447,work
448,environment
449,intentionally
450,designed
451,one
452,learn
453,grow
454,belong
455,apply
456,click
457,apply
458,show
459,less
460,summary
461,office
462,information
463,technology
464,offering
465,highly
466,motivated
467,competent
468,professional
469,opportunity
470,serve
471,lead
472,architect
473,identity
474,access
475,management
476,team
477,responsible
478,design
479,deployment
480,management
481,identity
482,access
483,management
484,systems
485,end-user
486,support
487,lead
488,identity
489,access
490,management
491,architect
492,serves
493,thought
494,leader
495,planning
496,deploying
497,supporting
498,identity
499,access
500,management
501,eco-system
502,college
503,lead
504,architect
505,plays
506,key
507,role
508,determining
509,road-map
510,enhancing
511,iam
512,capabilities
513,college
514,well
515,helps
516,implement
517,solutions
518,road-map
519,internal
520,title
521,lead
522,security
523,working
524,title
525,lead
526,identity
527,access
528,management
529,architect
530,job
531,duties
532,coordinates
533,governance
534,compliance
535,security
536,staff
537,matters
538,identity
539,access
540,security
541,policies
542,procedures
543,guidelines
544,researches
545,analyzes
546,resolves
547,complex
548,escalated
549,identity
550,system
551,end-user
552,incidents
553,identifies
554,technical
555,debt
556,prioritizes
557,resolution
558,leads
559,evaluation
560,deployment
561,new
562,existing
563,identity
564,management
565,solutions
566,takes
567,input
568,source
569,controls
570,life-cycle
571,management
572,automation
573,target
574,systems
575,maintains
576,roadmap
577,identity
578,access
579,architecture
580,college
581,demonstrates
582,thought
583,leadership
584,identity
585,access
586,management
587,concepts
588,authentication
589,authorization
590,application
591,security
592,privacy
593,consent
594,management
595,regulatory
596,compliance
597,multi-factor
598,authentication
599,federation
600,risk
601,management
602,provides
603,expertise
604,cloud
605,solutions
606,integration
607,iam
608,tools
609,serves
610,expert
611,resource
612,iam
613,related
614,protocols
615,saml
616,oauth
617,oidc
618,rest
619,apis
620,security
621,interfaces
622,provides
623,expertise
624,directories
625,sso
626,federation
627,mfa
628,api
629,gateways
630,soa
631,services
632,privileged
633,access
634,management
635,platforms
636,configures
637,identity
638,access
639,systems
640,enforce
641,security
642,policies
643,leads
644,design
645,construction
646,implementation
647,phases
648,large
649,complex
650,identity
651,access
652,projects
653,maintains
654,traceability
655,relationships
656,user
657,stories
658,personas
659,use
660,cases
661,interactions
662,workflows
663,activities
664,functional
665,non-functional
666,requirements
667,tests
668,realization
669,provides
670,training
671,escalation
672,support
673,guidance
674,team
675,members
676,provides
677,experience
678,representing
679,technical
680,viewpoints
681,diverse
682,audiences
683,making
684,timely
685,prudent
686,technical
687,risk
688,decision/recommendations
689,position
690,requires
691,person
692,able
693,work
694,well
695,within
696,team
697,environment
698,willingness
699,assist
700,team
701,member
702,needed
703,helps
704,team
705,maintain
706,good
707,relations
708,vendors
709,job
710,type
711,full-time
712,pay
713,"96,626.00"
714,"140,492.00"
715,per
716,year
717,benefits
718,401
719,k
720,401
721,k
722,matching
723,dental
724,insurance
725,employee
726,assistance
727,program
