,administrator,analyst,architect,developer,director,engineer,leadership,manager,specialist
engineer,0.37347734425053664,0.04149903990225383,0.01899298753852087,0.04023940319905465,0.03900566439743451,0.0,0.0286709807262237,0.05068985830815059,0.01529880090690306
authentication,0.15108306806251479,0.020749519951126914,0.043683871338597996,0.17820307131009916,0.11051604912606443,0.008590458060225353,0.05396890489642109,0.07493283402074434,0.0
management engineer,0.13495721068575706,0.0,0.0,0.0,0.006481099931413839,0.0,0.0,0.0,0.0
governance,0.10998847354951077,0.020749519951126914,0.11015932772342103,0.12071820959716396,0.022753304231836795,0.018039961926473242,0.10456475323681585,0.05068985830815059,0.0
lead,0.09669316356000948,0.013833013300751276,0.08356914516949182,0.13796366811104452,0.055258024563032214,0.03436183224090141,0.24623312858992122,0.14986566804148868,0.0
building,0.09669316356000948,0.03458253325187819,0.04558317009245008,0.07473032022681578,0.061758968629271306,0.02018757644152958,0.10962433807085532,0.09697190285037503,0.0
linux,0.08752450256312941,0.016978082967919157,0.016317859157563605,0.02116638067951328,0.0398949835898786,0.0,0.006209930492214762,0.0,0.0
python,0.07493720175900734,0.013833013300751276,0.01899298753852087,0.011496972342587043,0.03900566439743451,0.00042952290301126765,0.005059584834039477,0.015427348180741483,0.0
like,0.07493720175900734,0.006916506650375638,0.02469088380007713,0.03449091702776113,0.03900566439743451,0.007731412254202818,0.04553626350635529,0.05068985830815059,0.0
mine,0.0747084559153298,0.0,0.0719530434534203,0.0,0.0,0.0,0.0,0.0,0.0
concept,0.06889387903650675,0.020749519951126914,0.09686423644645642,0.06898183405552226,0.052007552529912675,0.0,0.037103622116289495,0.03526251012740911,0.022948201360354588
saml,0.06405922085850628,0.03458253325187819,0.009496493769260435,0.0517363755416417,0.029254248298075883,0.001288568709033803,0.01686528278013159,0.024242975712593758,0.0
available,0.06286039753654378,0.0,0.03993193605871141,0.012722046229509355,0.017984150192262238,0.004752912389378515,0.02612733693121353,0.05852992474562579,0.0
programming,0.06285055631400616,0.020749519951126914,0.009496493769260435,0.011496972342587043,0.06500944066239085,0.001288568709033803,0.010119169668078954,0.011019534414815346,0.0
framework,0.06164189176950604,0.0,0.02279158504622504,0.0517363755416417,0.055258024563032214,0.003865706127101409,0.04890932006238161,0.030854696361482966,0.00764940045345153
continuous,0.06164189176950604,0.006916506650375638,0.026590182553929212,0.011496972342587043,0.019502832198717256,0.006442843545169015,0.025297924170197387,0.039670323893335246,0.0
protocol,0.060185487003073836,0.015307006876383911,0.033626893523125395,0.04452716180328274,0.017984150192262238,0.0,0.013063668465606765,0.014632481186406447,0.0
powershell,0.060185487003073836,0.030614013752767823,0.012610085071172025,0.02544409245901871,0.021580980230714683,0.0,0.0,0.009754987457604298,0.008464491632841674
year preferred,0.05884803173633886,0.03826751719095978,0.1071857231049622,0.06361023114754677,0.0,0.0,0.022394860226754455,0.02194872177960967,0.05078694979705005
pam,0.05751057646960388,0.0,0.027321850987539385,0.05088818491803742,0.0,0.007129368584067774,0.03545852869236122,0.017071228050807522,0.0338579665313667
devops,0.05751057646960388,0.0,0.012610085071172025,0.01908306934426403,0.0035968300384524475,0.0033270386725649612,0.014929906817836302,0.014632481186406447,0.0
paypal,0.05542885438879308,0.0,0.06437903887937606,0.0,0.0,0.0,0.0,0.0,0.0
bank,0.05483566593613393,0.0,0.035728574368320734,0.031805115573773385,0.035968300384524476,0.0009505824778757031,0.029859813635672604,0.004877493728802149,0.0
diversity,0.05438990450250533,0.04149903990225383,0.06457615763097095,0.03449091702776113,0.055258024563032214,0.013315209993349295,0.0657746028425132,0.03305860324444604,0.0
modern,0.05216075540266399,0.0,0.004203361690390674,0.03816613868852806,0.02877464030761958,0.0033270386725649612,0.014929906817836302,0.02194872177960967,0.0
federation,0.0519725754135051,0.020749519951126914,0.01709368878466878,0.05748486171293522,0.016252360165597713,0.002577137418067606,0.023611395892184226,0.024242975712593758,0.0
management solution,0.0519725754135051,0.013833013300751276,0.026590182553929212,0.04023940319905465,0.016252360165597713,0.0,0.013492226224105272,0.017631255063704554,0.00764940045345153
vmware,0.05183875688491297,0.010594429209766307,0.00581854025826476,0.026415905984178662,0.0,0.0,0.0,0.0,0.0
production,0.050763910869004975,0.04841554655262946,0.032288078815485476,0.0,0.04875708049679314,0.00730188935119155,0.037103622116289495,0.017631255063704554,0.045896402720709176
software engineer,0.049560700020521826,0.0,0.005191987924046363,0.0,0.01332840200298583,0.0,0.0046103512863616405,0.0030123375532309874,0.0
single sign,0.04955524632450486,0.020749519951126914,0.01709368878466878,0.022993944685174086,0.016252360165597713,0.0,0.006746113112052636,0.013223441297778415,0.00764940045345153
principle,0.04955524632450486,0.08299807980450766,0.026590182553929212,0.03449091702776113,0.006500944066239084,0.0,0.05565543317443425,0.0286507894785199,0.01529880090690306
oauth,0.04955524632450486,0.013833013300751276,0.007597195015408347,0.0517363755416417,0.026003776264956337,0.0021476145150563382,0.013492226224105272,0.008815627531852277,0.0
threat,0.04895438278954697,0.0,0.053615822946280416,0.007055460226504427,0.0,0.002108716394728179,0.018629791476644283,0.04868975658316558,0.0
designing,0.04834658178000474,0.020749519951126914,0.007597195015408347,0.06898183405552226,0.026003776264956337,0.0021476145150563382,0.015178754502118431,0.024242975712593758,0.0
identity governance,0.04834658178000474,0.006916506650375638,0.03608667632318965,0.06323334788422874,0.006500944066239084,0.003865706127101409,0.01686528278013159,0.011019534414815346,0.0
candidate,0.04834658178000474,0.03458253325187819,0.039885273830893825,0.03449091702776113,0.05850849659615177,0.008160935157214085,0.05396890489642109,0.05950548584000286,0.0
hands on,0.04834658178000474,0.013833013300751276,0.01709368878466878,0.02874243085646761,0.029254248298075883,0.0,0.003373056556026318,0.022039068829630692,0.00764940045345153
azure ad,0.047137917235504624,0.013833013300751276,0.01899298753852087,0.04023940319905465,0.009751416099358628,0.001288568709033803,0.008432641390065795,0.011019534414815346,0.0
sign on,0.046810934335724086,0.022960510314575865,0.016813446761562698,0.01908306934426403,0.0035968300384524475,0.0,0.0,0.012193734322005371,0.008464491632841674
based access,0.04413602380225414,0.015307006876383911,0.021016808451953375,0.0,0.025177810269167135,0.007129368584067774,0.03919100539682029,0.02194872177960967,0.0
role based,0.042798568535519166,0.030614013752767823,0.027321850987539385,0.0,0.01438732015380979,0.005703494867254219,0.03359229034013168,0.024387468644010743,0.0
configure,0.042798568535519166,0.03826751719095978,0.0063050425355860125,0.0063610231147546775,0.01438732015380979,0.0,0.0018662383522295377,0.009754987457604298,0.0
integrate,0.0414611132687842,0.015307006876383911,0.010508404225976688,0.0,0.03956513042297692,0.004752912389378515,0.02612733693121353,0.017071228050807522,0.0
000 00,0.0414611132687842,0.0,0.02522017014234405,0.012722046229509355,0.007193660076904895,0.005703494867254219,0.037324767044590756,0.009754987457604298,0.0
pipeline,0.0414611132687842,0.0,0.0063050425355860125,0.012722046229509355,0.007193660076904895,0.0009505824778757031,0.013063668465606765,0.012193734322005371,0.0
bonus,0.041094594513004026,0.0,0.026590182553929212,0.02874243085646761,0.026003776264956337,0.006872366448180282,0.037103622116289495,0.024242975712593758,0.00764940045345153
api,0.041094594513004026,0.013833013300751276,0.009496493769260435,0.0517363755416417,0.03900566439743451,0.0008590458060225353,0.003373056556026318,0.008815627531852277,0.0
maintaining,0.041094594513004026,0.04841554655262946,0.03798597507704174,0.0,0.016252360165597713,0.003865706127101409,0.02192486761417107,0.046282044542224454,0.00764940045345153
http,0.04012365800204922,0.04592102062915173,0.04833865943949276,0.0,0.010790490115357342,0.0,0.029859813635672604,0.009754987457604298,0.008464491632841674
