job_title,role,description,knowledge,skills,tasks,education_level,experience,certifications
"Business Intelligence Engineer, Identity and Access Management",engineer,"· 3+ years in relevant experience as Business Intelligence Engineer, Data Engineer, Business Analyst, Data Scientist, or equivalent. · Proficiency with data querying or modeling technique with SQL · Experience with data visualization using QuickSight, Tableau, or similar tools · Proficiency with a scripting language (Java, Python, or R) · Bachelor's degree in Engineering, Statistics, Computer Science, Operations Research, Business Analytics, Information Systems or related field

Job summary
We are looking for Business Intelligence Engineers to apply their talents to create new BI solutions, providing cutting edge insights and analytics that help tell the story of how our Stores Security programs are performing.

Our Stores Security teams span over ten countries worldwide, and our focus areas include security intelligence, application security, incident response, security operations, risk and compliance, acquisitions and subsidiaries, and external partner security.

What makes this role different than all the others out there? Simple: scope. You get the opportunity to work with every part of our Stores Security team plus external business stakeholders. You will be working on a large number of complex migration projects and be given a lot of independence. This is a new focus area for Stores Security, so you have the opportunity to put your stamp on it.

Amazon.com strives to be Earth's most customer-centric company where people can discover virtually anything they want to buy online. The world's brightest minds come to Amazon.com to research and develop technology that improves the lives of shoppers, developers, publishers, and sellers around the world. Amazon's vision is to offer the Earth's largest selection and lowest prices to our customers.

Key job responsibilities
We are building a team of professionals that are forward-looking and using the latest technology offerings (AWS cloud services, Machine Learning, Mathematical Optimization, Relational and NoSQL databases) to build new capability to operationalize and automate migration methodologies.

Manage the business metrics reporting process and perform ad hoc reporting requests
Drive process efficiency and automation
Partnering with engineering, product, business and finance teams to create key performance indicators and new methodologies for measurement.
Own key executive reports and metrics that are consumed by our VPs and Directors.
Provide thought leadership in global business deep dives across a variety of key performance indicators.
Retrieve and analyze data from database tables (ex. Redshift, Oracle), and learn and understand a broad range of Amazon’s data resources and know how, when, and which to use and which not to use.
Analyze volumes of data to find the root causes behind variances and drive insights.
Build new analytical tools, interfacing with business and technical stakeholders
Develop models and metrics providing insights on customer and seller experience and performance

This position may be located in Austin TX, Arlington VA, New York or Seattle, with other locations possible.



About the team
You will join a team that drives the automation of authoritative datasets that facilitate business analysis and track performance of our Stores Security organization. You have a track record of using those datasets and insights to work directly with business and product teams to drive change within your business. You will work directly with business owners and program managers to translate ambiguous situations into technical implementations that deliver business recommendations that exceed the expectation of your business partners. You understand that automation is key to your success and constantly find techniques to ensure automation and derived datasets are a feature of all your data activities.

· 5+ years in relevant experience as a Business Intelligence Engineer, Data Engineer, Business Analyst, Data Scientist, or equivalent. · Strong fundamentals in problem-solving, algorithm design and complexity analysis. · Experience in data mining, SQL, ETL, etc. and using databases in a business environment with large-scale, complex datasets. · Master’s degree in BI, Finance, Engineering, Statistics, Computer Science, Mathematics, Finance or related field required Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Start your job application: click Apply Now

Show Less ",,,,,,
Data Integration Developer,developer,"· Using API connections and flat files ingests to parse JSON and CSV data for software connectors.
· Develop connector software on Windows Red Hat Fuse using Java (version 8 or above), Blueprint XML, XSLT, Camel and SQL libraries which ingests cybersecurity data from security sensors to a SQL Server Database for display on a Dashboard.
· Create test plans to validate the ingest software functionality.
· Create documentation on the use of the ingest software.
· Interpret and implement functional requirements between the sensors and the dashboard.
· Provide support to operations teams on the software when deployed into production.

Basic Qualifications:

· BS in Computer Science or related field
· Minimum 4-5 years of experience in technologies:
o Software Development using Java (version 8 or above) with an IDE (e.g. Eclipse, CodeReady)
o Parsing File formats (e.g., JSON, XML, and CSV)
o SQL SERVER database design, programming, tuning, writing SQL queries/procedures
o Developing/automating test procedures
o Web services client development using REST API
o Test REST APIs from command line (curl, get, post, put) and/or using Postman or other API testing framework
o Release Management and build tools (e.g., Maven, Jenkins) and configuration tools (e.g., SVN)
o Secure coding practices including use of encryption (e.g., Certificates, TLS Connections)
o Experience in developing in the Windows environment
· Knowledge of data integration and data transfer through on-premise and Cloud resources
· Excellent communication, and relationship skills to articulate advanced technical topics and build consensus among clients and technical stakeholders
· Strong interpersonal and collaborations skills working in a team-oriented environment
· Strong analytical and problem-solving skills
· Ability to adhere to defined processes & procedures, and suggest improvements
· Ability to effectively prioritize and handle multiple tasks simultaneously
· Strong technical documentation skills

Preferred Qualifications:

· Experience with:
o Red Hat Fuse, Camel, Blueprint XML, XSLT programming
o Windows PowerShell
· Knowledge of emerging cybersecurity technologies such as Mobile and Asset Management, Identity and Access Management, and Vulnerability Management software (e.g., McAfee, Tenable, SCCM, ServiceNow, SailPoint, CyberArk)
· Experience with JIRA and Agile development practices
· Overall strong background in systems engineering, security engineering, architecting, enterprise integration, and interoperability in a complex systems environment
· Experience modeling data, message, and service interoperability
· Understanding of technical, operational, and management issues related to design, development, and deployment of complex and distributed systems
· Understanding of interrelationships between critical infrastructure protection and cybersecurity
· Familiarity with DoD Cybersecurity programs and compliance

Job Type: Full-time

Pay: $90.00 - $115.00 per hour

Benefits:

401(k)
Dental insurance
Employee assistance program
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift

Experience:

Tenable Security Center: 5 years (Required)
SQL: 5 years (Required)
Data warehouse: 5 years (Required)
XML: 5 years (Required)
JSON: 5 years (Required)
Java: 5 years (Required)
Vulnerability management: 5 years (Required)
Identity & access management: 5 years (Required)
XSLT: 5 years (Required)

Work Location: Remote

Show Less ",,,,,,
Identity and Access Management (IDAM) Operations Analyst,analyst,"** NO Corp-to-Corp**


Must be local or willing to relocate at your own expense.


Position Summary


Identity and Access Management (IDAM) Operations Analyst is responsible for supporting cybersecurity systems integration efforts on large task orders for multiple government agencies by performing hands- on operational support for Privileged Identity Management functions. The Identity and Access Management (IDAM) Operations Analyst will also coordinate with other DEFEND E Service Area representatives to support additional issue, problem and incident management activities as required. The Identity and Access Management (IDAM) Operations Analyst will need to be familiar with the methodologies and tools used to support Continuous Diagnostic and Monitoring (CDM) capabilities to monitor and protect privileged accounts in an organization's IT environments. The candidate will work closely with the CDM solution engineers, testers, training teams and the agencies themselves to ensure a successful operations and maintenance of the existing and new capabilities.


Job Responsibilities:


Provides operations and maintenance (O&M) support and integration of privileged account security solutions in both lab and production environments.

Installs and configures application updates, patches, and hotfixes.

Support advanced troubleshooting activities requested by Tier II staff.

Coordinates, oversees, and participates in the installation, configuration, and support of COTS cybersecurity solutions within complex government environments, acting as the primary point of contact for support and integration-related access management issues.

Coordinates with contractor resources spanning a range of disciplines from systems engineering and IT operations to testing and quality assurance.

Supports the transition of new capabilities to operations in accordance with the DHS SELC lifecycle and in coordination with software testing.

Participates on matrix-managed team with operations, engineering, and others to generate root cause analyses (RCA), update tickets, and resolve problems and incidents.

Performs and updates Standard Operating Procedures (SOPs) for operations and maintenance support.

Supports and observes software testing activities to meet task order requirements.

Follows documented methods and practices to deliver effective, efficient, and professional operations support.

Recommends process improvements or operational efficiencies to drive increased value for the customer, the team, and the program.

Prioritizes troubleshooting activities requested by Tier II staff, to include rapid installation and configuration of test systems to model customer environment.

Maintains the availability, integrity, and confidentiality of data across physical and logical solution boundaries in a multi-agency environment.

Participates in regular reviews with Service Design and Service Transition.

Coordinates with Agency’s local engineering resources and OEMs for patching, upgrading, or renewing tool and sensor software and hardware.

Identifies areas for improvement and optimization within existing data interfaces and transport mechanisms as part of continuous improvement initiatives.


Position Requirements:


Bachelor's degree preferred with 5-8 years’ experience in IT or information security, or equivalent combination of education and experience.
No fewer than 3 years of experience in systems integration or implementation activities for security solutions within the identity and access management domain.

Background in information security systems with specific knowledge around access control and privileged access management

Hands-on Windows 2012 Server (or more recent) administration experience

Hands-on Active Directory and LDAP experience

Functional understanding of TCP/IP networks and network boundary controls Identity and
Access Management (IDAM) Operations Analyst

Functional understanding of database concepts

Windows GPO management experience, including troubleshooting GPO conflicts

Proficiency with MS Visio, PowerPoint, Word, and Excel

Basic UNIX/Linux system administration experience preferred

Intermediate skill level with creating, modifying, and executing system scripts

Experience with the following technologies/products: Authentication and SSO, CyberArk, SailPoint, CA PAM, Beyond Trust PAM, or other Privileged/Identity Access Management solutions

Required: will have an active certification consistent with the DoD Approved 8570 Baseline
Certifications for IAM Level II within 90 days of hire. (CAP, CASP+ CE, CISM CISSP, GSLC, or CCISO)


Security Requirements:
Selected individual will be subject to a government security investigation and must meet eligibility requirements for access to classified information and be clearable to a Department of Homeland Security (DHS) EOD clearance. Secret clearance preferred.

Show Less ",,,,,,
Identity and Access Management Engineer - IAM (SailPoint IIQ),engineer,"**REMOTE OPPORTUNITY**

EmBark is currently seeking an experienced IAM specialist with specific skills within SailPoint IIQ. This is a highly visible role at the start of a multi-phase enterprise level initiative.

3+ years of software design and development, including at least 3+ years of development experience with Identity and Access Management technologies (SailPoint IIQ or IdentityNow).

3+ years of design, development and support experience with SailPoint IdentityIQ (IIQ) including Life Cycle Manager (LCM) and Compliance Manager(CM) which includes hands on experience with the following SailPoint IdentityIQ components such as but not limited to Workflows, Rules, Connectors, Security Policies, Aggregation Jobs, Roles, Certification Campaigns and Application Integration.

Experience integrating IAM solutions within an SAP environment.

Experience working in DevOps environment, automation first mindset, ability to leverage coding/scripting skills and working experience with APIs.

Ability to compose, articulate and present complex technical issues to both technicians and clients to gain consensus.

Exposure to all and expert knowledge in three or more of the following technologies: Automated Provisioning, Directory Services, Application On-Boarding, Password Management, Re-certifications, Access Requests, Access Review, Delegation, Dynamic Organizations, Role based Security & Access Control, Customer Identity Management.

Job Types: Full-time, Contract

Pay: $45.00 - $60.00 per hour

Schedule:

8 hour shift
Monday to Friday

Experience:

SailPoint IIQ: 3 years (Preferred)

Work Location: Remote

Show Less ",,,,,,
ServiceNow Developer (All Levels Remote),developer,"*We are open to supporting 100% remote work anywhere within the US.*
ICF’s Data Modernization Division is a rapidly growing, entrepreneurial, technology-driven department, seeking motivated Sr. ServiceNow Developers (all levels) to support upcoming needs with our federal customers.
Our Data Modernization Division is an information technology and management consulting department that offers integrated, strategic solutions to its public and private-sector clients. ICF has the expertise, agility, and commitment to design, build, and operate high-performance IT engines to support all aspects of our client’s business.
The Work
At ICF, our ServiceNow Developers help support the mission, business, service, and operational needs of our customers. ICF’s ServiceNow Developers work on a wide variety of different programs to support diverse customer mission areas. We build solutions that support citizen services - such as systems that help detect fraud, waste, and abuse across federal programs, systems that help facilitate wireless spectrum auctions, and systems that support citizen engagement with regulatory and rulemaking processes - all using the ServiceNow platform. We also support new and novel employee services across our portfolio - such as improving employees' access to Human Resources business functions, our customer's business management, and stakeholder engagement capabilities, as well as core service and operations management needs of business stakeholders.
Responsibilities:
Formulate system scope and objectives.
Prepares detailed specifications for application builds.
Assist with user story creation and grooming.
Responsible for coding, testing, debugging, and creating technical documentation.
Technical knowledge and responsibility of all phases of applications systems analysis and programming.
Understands the business or function for which the application is designed.
Instructing, directing, and checking the work of other technical team members.
Adept at developing front-end portals, and back-end console development.
Experience with programming languages and databases including PHP, HTML, CSS, JavaScript, and JSON.
Experience building scoped applications.
Required Skills:
3+ years of experience developing on the ServiceNow platform.
5+ years of IT application system experience in technology solution delivery.
2+ years of experience with platform customization in relevant delivery platforms.
2+ years of experience with custom application development including Custom Service Portal widget creation.
2+ years of experience developing and customizing core applications such as Incident, Problem, Change, Knowledge, and Service Catalog.
2+ years of experience working and developing with JavaScript - HTML5, Jelly, jQuery, and AngularJS.
2+ years of experience leading and mentoring Junior ServiceNow team members.
2+ years of experience implementing systems using the Agile/Scrum methodology.
US Citizenship is required (required by the federal government for this position).
Must be able to obtain Public Trust clearance.
MUST RESIDE IN THE United States (U.S.) and the work MUST BE PERFORMED in the United States (U.S.), as this work is for a federal contract and laws do apply.
Preferred Skills:
Integration experience (SOAP, REST, and JSON as well as JDBC and file imports).
Experience integrating ServiceNow with an API-led Integration Platform such as MuleSoft or Apigee.
Administration of a ServiceNow instance including the management of users, groups, and roles, CMS Development, ACLs, business rules, workflows, UI actions, UI policies, dictionary, and catalog items Orchestration and Discovery experience is a plus.
Experience with rebuilding and refactoring legacy applications in ServiceNow is a plus.
Experience conducting ServiceNow instance upgrades.
ServiceNow Developer Certification is strongly preferred.
This is an outstanding opportunity to work with talented and passionate individuals and to grow with a firm that believes in nurturing talent and developing long-term career success. ICF is a purpose-driven company with a strong culture and underlying values that prize diversity, opportunity, equality, and respect. Our core values include Embracing Differences, and we seek candidates who are passionate about building a culture that encourages, embraces, and hires dimensions of differences.
#DMD
#SENW22
#LI-CC1
#Indeed
Working at ICF
Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth.
We can only solve the world's toughest challenges by building an inclusive workplace that allows everyone to thrive. We are an equal opportunity employer, committed to hiring regardless of any protected characteristic, such as race, ethnicity, national origin, color, sex, gender identity/expression, sexual orientation, religion, age, disability status, or military/veteran status. Together, our employees are empowered to share their expertise and collaborate with others to achieve personal and professional goals. For more information, please read our
EEO & AA policy
.
Reasonable Accommodations are available, including, but not limited to, for disabled veterans, individuals with disabilities, and individuals with sincerely held religious beliefs, in all phases of the application and employment process. To request an accommodation please email
icfcareercenter@icf.com
and we will be happy to assist. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. Read more aboutnon-discrimination:
EEO is the law
and
Pay Transparency Statement
.


Puerto Rico Remote Office (PR99)
Show Less 
Report",,,,,,
"Software Development Engineer , AWS Identity and Access Management",engineer,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.
2+ years of non-internship professional software development experience
Programming experience with at least one software programming language.



Job summary
AWS has the most services and more features within those services than any other cloud provider–from infrastructure technologies like compute, storage, and databases–to emerging technologies, such as machine learning and artificial intelligence, data lakes and analytics, and the Internet of Things. AWS Platform is the glue that holds the AWS ecosystem together. Whether it's Identity features such as access management and Sign-on, cryptography, console, builder & developer tools, and even projects like automating all of our contractual billing systems, AWS Platform is always innovating with the customer in mind. The AWS Platform team sustains over 750 million transactions per second.

AWS Identity and Access Management (IAM) enables customers to secure their workloads in the cloud by providing authentication and authorization mechanisms. With the growth of AWS, the workloads and access patterns keep evolving, demanding the next order of magnitude scalability. We are looking for strong software engineers to build the next generation functionality in this area. Individuals interested in this position should have experience building high-performing, reliable systems in a complex, multi-tiered, and distributed environment in a fast-paced environment.

We desire you to have an established background in design, development and operations of highly scalable and available distributed systems. You must have strong technical skills, excellent project management skills, great communication skills, and a motivation to achieve results in a fast-paced environment. It is a highly technical space. You are a strong technical contributor who understands the big picture, drives prioritization, builds consensus, and rallies the team behind it. Responsibilities include driving architecture, design, and implementation of complex components while maintaining an uncompromising bar on quality and mentoring junior developers for software within the team.

About Us
Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.



Experience running and maintaining a 24x7 production environment
Experience with very large distributed systems such as large-scale distributed database systems, storage farms, and/or horizontally scaled request processing fleets
Exceptional customer focus including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet ambitious timelines with optimal solutions
Prior experience in defining, scoping and pitching the business and technical vision for a complicated area within a highly technical domain.
Strong written and verbal communication skills

#AWS-UtilityComputing-Jobs

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Apply Now: click Apply Now

Show Less ",,,,,,
"Sr. Software Engineer III, AWS IAM (Identity and Access Management)",engineer,"4+ years of professional software development experience
3+ years of programming experience with at least one software programming language
2+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems
Experience as a mentor, tech lead OR leading an engineering team



Job summary
AWS Identity and Access Management (IAM) team has an open seat for an experienced Senior Software Development Engineer who is looking to further advance their career and has professional interest and ambition in shaping technical direction for one of the most critical AWS services.

As part of IAM, you will further deepen your technical expertise and grow proficiency in distributed software design, navigate operational challenges of a global, highly available system under load, and hone your leadership and mentorship skills. You will collaborate with and learn from some of the strongest software, security and infrastructure engineers in the industry, and leverage Amazon's ample resources to innovate in on behalf of our customers.

Key job responsibilities


About the team
At AWS Identity and Access Management (IAM) we build and operate authentication and authorization stack for the AWS cloud, including foundational APIs such as IAM User, Role and Policy management. We build distributed, highly available, fault tolerant mission-critical software and operate it on the global scale, own our systems end-to-end, innovate and influence the direction of technology used by all AWS services and AWS customers around the world.

Our mission is to equip our customers with state-of-the-art tools to manage access to their AWS resources and ensure that their AWS environments are provably secure. Year over year, we aim to increase the flexibility of controls and reduce the complexity of configurations, positioning our customers to implement security best practices with ease.

Mentorship & Career Development
As a senior member of the IAM engineering team you will experience no shortage of great technical challenges that will propel your software engineering career to the next level. We have a broad mix of experience levels and tenures and thoughtfully invest in creating growth opportunities for team members, building an environment that celebrates collaboration, knowledge sharing and mentorship. You will be working in close partnership with senior and principal engineers as well as senior leaders to charter the technical path, and coach and mentor other members of your team to help make your vision a reality.

Hybrid Work Options Available
We value your time to innovate and recognize the need for heads down time to focus on a build. We also value in-person collaboration and time spent face-to-face. Our team affords engineers with options to work in the office every day, work remotely, or be in a flexible hybrid schedule, combining working from home with occasional in-person work meetings at the nearest Amazon office.



BS/MS in Computer Science, Mathematics, Engineering discipline or equivalent work experience
Strong fundamental Computer Science knowledge, fluency with common algorithms, data structures and design patterns
Strong software architecture knowledge, familiarity with distributed systems design patterns and paradigms
Hands-on experience building and operating large mission-critical distributed software systems
Experience unpacking high-level problem statements, discovering the foundational unmet customer needs, proposing and evaluating multiple options and translating it into well-scoped technical documents
Ability to productively collaborate across roles, team and organizational boundaries, defining, scoping and pitching technical solutions
Ability to drive productive collaboration with other engineers, establish a shared architectural vision, break down the work, oversee and course-correct execution and integration
Experience mentoring software engineers for development of their functional skills and mindset, and through that further accelerating the team

The base pay range for this position is $ 168,070– 275,140/YR. Pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign-on payment and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. Applicants should apply via Amazon's internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Start your job application: click Apply Now

Show Less ",,,,,,
"Data Engineer, Identity & Access Management (Austin OR Arlington)",engineer,"7+ years of experience of implementing large data lakes or data warehousing and data modeling.
Experience in data integration to automate business processes.
4+ years of experience in implementing data ingestion workflows via streaming or batch data pipelines
Experience in implementing and using RESTful APIs for an API-first application architecture
Expertise in Elastic search queries and aggregations.
Experience with AWS cloud services: EC2, EMR, EKS, Athena.


Job summary
At Amazon, we are obsessed with customer trust. Information Security enables Amazon business leaders to securely develop and operate to maintain Customer Trust by guarding the confidentiality and integrity of Amazon and customer data.

Our teams focus areas include: Enterprise Access risk reduction, access health best practices, managing preventive and detective access health controls. Our mission includes instilling awareness and controls to safeguard all customer and employee data, applications, services, and assets. To accomplish this, we unite with Amazon organizations to identify access risks and manage them pro-actively.

Key job responsibilities
This role is for a Data Engineer - Identity & Access Management (IAM) who will work on building data solutions for processing large scale access events, deriving access patterns and presenting them to various stakeholders via a consolidated product layer. As a Data Engineer in the IAM space, you will work on the development of new Access Health products or refactoring existing data management solutions, aimed at identifying risky variances in access patterns.

A day in the life
Your day-to-day job responsibilities will include:

Design, implement and successfully deliver large scale, critical data solutions to identify access risks at scale.
Adopt an iterative, continuous improvement approach to release and deploy product features.
Work in an agile environment, collaborate with peers on designs, technical refinements and customer issues.
Improve business and engineering team processes via data architecture
Build access risk detection capabilities by processing large scale access log information.
Lead design reviews to ensure all data management efforts are tactically aligned.
Demonstrate the ability to communicate effectively at various organization levels.


Experience in building large scale data lifecycle management solutions in Identity & Access management domain.
Experience in building data models with large data sets.
Working knowledge of AWS compute, data and other security capabilities.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Start your job application: click Apply Now

Show Less ",,,,,,
"Principal Product Manager–Tech, Identity and Access Management",manager,"7+ years of Product Management or Technical Program Management experience in a related industry
Bachelor's degree in Engineering, Computer Science or related technical field OR additional years of experience in related field
Experience in stakeholder management and working with engineering teams
Ability to present business products and demonstrate integration and use benefits.
Understanding of the software development lifecycle (SDLC)
Demonstrated written and verbal communication skills and ability to present in large groups
Experience with managing large cross-functional projects
Significant technical depth and understanding of distributed systems and engineering best practices

Job summary What do you know about protecting sensitive data? What about fine-grained access control (FGAC) on Big Data? Or attribute-based access control (ABAC) and context based authorization? In Amazon Security we build Access Policy Management systems to enable all Amazon teams to apply FGAC to their sensitive data. We build products that apply context based authorization to solve the problem of over-permissioning. We do this to protect Amazon customer, seller, vendor and employee information across from constantly changing abuse actor behaviors and patterns. In our newly created organization we have a rare opportunity to engage with multiple Amazon organizations and groups of experienced tech leaders to build products with impact at an impressive scale (hundreds of thousands of services). Key job responsibilities We are looking for a Principal, Product Manager Technical (PM-T) to drive the scoping and delivering of projects from end-to-end. You will be responsible for identifying the stakeholders, driving to set roadmaps and strategies for the program, driving delivery, reporting status, and holding the bar on product quality. You will handle complex inter-team dependencies and bridge the gaps in technical management. You will have the opportunity to learn about various Amazon business and technologies. Successful candidates for this position must have a strong product management background and demonstrated experience leading medium to large projects. They must possess strong verbal and written communication skills, be self-driven and deliver high quality results in a fast-paced environment.

Background in software architecture and technical management.
Ability to communicate effectively with both technical and non-technical individuals.
Demonstrated ability to prioritize and push forward in an ambiguous environment.

The base pay range for this position in New York City is $197,900 - $267,800. Our range of benefits may include health care, employee discounts, 401(k) savings plans, paid time off, and more. This information is provided per the New York City Human Rights Law. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Workers in New York City who perform in-person work or interact with the public in the course of business must show proof they have been fully vaccinated against COVID or request and receive approval for a reasonable accommodation, including medical or religious accommodation.

To apply to this job, click Apply Now

Show Less ",,,,,,
Identity & Access Management Engineer (Remote),engineer,"A financial services company in California is looking to add a new Identity & Access Management Engineer to their Cybersecurity team in a Remote capacity. In this role, the Identity & Access Management Engineer (Remote)will be responsible for developing and driving critical access control development, implementation, and maintenance.

Responsibilities:

The Identity & Access Management Engineer (Remote) will be responsible for:

Lead development and maintenance of the core identity platforms
Build a team that will succeed in a fast-paced scaled agile environment and meet the needs of customers and business partners
Collaborates with the Architecture, Service Development, and Application Development teams in the building of access controls for interactive user logins as well as security application to application communications
Sustain a highly available and resilient identity platform through the application of modern technology service management principles
Support development of strategy, vision and roadmap implementation of authentication, authorization, and identity governance controls
Develop strong working relationships with other leaders in the information technology organization by providing continuous assistance and thought leadership
Establish and maintains relationships with suppliers and business partners in the IAM industry
Educate, coaches, and mentors a team on technical, company policy & procedures, and other topics
Establish and maintain access controls for company Azure and GCP platforms

Qualifications:

5+ years of experience managing Cybersecurity professionals
Bachelor's Degree
CISSP, Azure or GCP certifications, or similar industry recognized certification
Strong knowledge of Networks, Linux systems, Windows systems, web applications, and scripting languages
Strong knowledge of Microsoft Azure, Google Cloud Platform, or other cloud frameworks
Must be able to demonstrate access control implementation in GCP and Azure
Knowledge of Active Directory, Azure Active Directory and Azure related security features
Strong knowledge of tools used for authentication, MFA, certificate management and identity governance
Strong knowledge of Common Attack tools, concepts, and frameworks
Great interpersonal skills
Excellent communication skills (written and verbal)
Strong atteniton ot detail
Highly organized

Start your job application: click Apply Now

Show Less ",,,,,,
