,job_title,role,description
0,Identity and Access Management Administrator,administrator,job summary identity access management administrator shall responsible performing system management activity current future computer system related hardware software networking component evaluating current projected demand service computer software recommending modification current architecture procedure configuration maximize utilization existing resource design implement customizations computer environment required meet need child hospital user community recommending software acquisition meet projected demand perform product evaluation trial part continuing effort improve productivity existing software interacting application network end user support staff vendor end user community design evaluate new computer system environment associated application identifying end requirement relate computer system environment order develop execute plan within project time frame responding computer system problem resolving timely basis adhering problem resolution escalation procedure maintaining computer system security keep current published security warning monitor daily security audit trail multiple system inform management security breach hole computer system security propose solution providing consulting service technical support peer operating staff application staff research computing end user service assisting maintaining performance statistic provides performance tuning identifying problem area develop disaster recovery backup strategy order qualify must knowledge theory principle concept typically acquired completion bachelor degree computer science closely related field minimum five year analytical skill collect information diverse source apply professional principle performing various analysis summarize information data order solve problem design relatively complex system program cross line communication skill order effectively deal conflicting view issue mediate fair solution writing skill boston child hospital offer competitive compensation unmatched benefit including rotating schedule affordable health vision dental insurance generous level time b retirement saving plan pension tuition reimbursement cell phone plan discount discounted rate discover best show le
1,Systems Administrator (Hybrid Remote),administrator,system administrator hybrid remote christar interdenominational mission organization based richardson tx goal proclaim gospel establish church within community worldwide christar mobilization center cmcus seeking system administrator skill knowledge tested plan maintain deploy information technology infrastructure contains cloud component additionally system administrator serve organization aiding end user interact technology ideal candidate leverage excellent communication skill emotional intelligence enthusiasm harness secure flexible technology system administer cooperation christar director information technology provide service candidate must demonstrate integrity maturity proven hybrid remote position need office dictated essential job duty must done approximately time worked onsite essential duty responsibility director information technology division leader build technology deployment roadmap negotiate contract leased data equipment service competitively bid purchase data equipment software computing service maintain confidentiality integrity availability christar data install configure maintain hardware software administer configure cloud service including microsoft azure active directory endpoint security identity access management administer configure develop new service site stacker manage backup data including automatic backup routine testing data integrity maintain best practice network documentation maintain working disaster recovery plan assist christar personnel software computing device problem cooperation technical staff needed supply technology purchase assistance worker needed perform training department staff effective productive use new system policy practice may require documentation process step instruction manual learning session etc supply information security training worker requirement committed christian comfortable working missionary environment following qualification applicant must affirm christar belief core value part application bachelor degree minimum year system administration security certification like comp tia microsoft ad azure cloud service environment certification support azure endpoint security azure mobile device management plus comfort writing sql strong written verbal interpersonal communication skill ability team player collaboratively strong organizational skill ability prioritize handle multiple project simultaneously calmly pressure goal deadline strong troubleshooting skill strong orientation time must able effectively communicate individual within level organization willingness learn embrace emerging technology job type pay per year benefit health insurance paid time schedule hour shift monday friday system administration year required active directory year preferred azure year preferred comptia preferred location hybrid remote richardson tx show le
2,IT Administrator/Helpdesk,administrator,administrator least two year please read based heart silicon valley unified communication company expanding rapidly state art software taken need talented individual add team top reason u company growing unbelievable pace room upward growth career product year remote pioneer award helpdesk administrator maintain repair upgrade operating system including hardware software responding query via chat email phone monitor performance existing computer system infrastructure set manage account workstation troubleshoot issue outage ensure security access control backup firewall need position must least year helpdesk related role technology company least year window administration laptop desktop monitoring user management linux cli basic year least year vmware nice juno panos cloud aws gcp azure salary match unlimited pto hybrid workplace site day week medical dental vision administrator please apply today applicant must authorized cybercoders inc proud equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right compliance federal law person hired required verify identity eligibility united state complete required employment eligibility verification document form upon hire show le report
3,IT Administrator/Helpdesk L2/L3,administrator,administrator least two year please read based heart silicon valley unified communication company expanding rapidly state art software taken need talented individual add team top reason u company growing unbelievable pace room upward growth career product year remote pioneer award helpdesk administrator maintain repair upgrade operating system including hardware software responding query via chat email phone monitor performance existing computer system infrastructure set manage account workstation troubleshoot issue outage ensure security access control backup firewall need position must least year helpdesk related role technology company least year window administration laptop desktop monitoring user management linux cli basic year least year vmware nice juno panos cloud aws gcp azure salary match unlimited pto hybrid workplace site day week medical dental vision administrator please apply today applicant must authorized cybercoders inc proud equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right compliance federal law person hired required verify identity eligibility united state complete required employment eligibility verification document form upon hire show le report
4,Identity Access Management AD Systems Administrator,administrator,deloitte global engine deloitte network professional reach across discipline border develop lead global initiative deliver strategic program service unite organization identity access management ad system administrator support business staff security related identity access issue responsibility application user identity access administration including maintaining end user security access rule profile across multiple system platform assisting policy procedure including staff support security related identity access incident awareness responsible working incident service request service desk within sla analyze resolve technology end user incident standard business hour rotation monitor issue resolution collaborates application team vendor engineer necessary resolve issue manage user account access permission deloitte computer system application reviewing user id access request form determine accurate complete approved appropriate contact requestor manager data owner necessary order establish requested access notify user conduct periodic audit account access performing online research producing report user access particular system resource provide updated user listing periodically review upon request management data owner ensure timely removal modification access based upon termination listing emergency request change request form develop procedural documentation access service auditing purpose maintain access request audit trail identify appropriate referral resource group messaging operation application team deloitte technology forefront technology development process support protect deloitte around world truly global environment operate rather help deloitte deliver connect client community one another way previously conceived qualification graduation degree year relevant minimum six year training computer security auditing user account elevated account access management proven teamwork quality emphasis customer service team building organizational skill ability multitask pressure project deadline ability troubleshoot user access problem determine appropriate corrective action ability view incident problem customer perspective taking initiative represent customer working team toward resolution proven performance monitoring performance defined service level agreement internal customer internal department external vendor dedicated increasing performance level excellent presentation communication skill oral written enterprise directory service active directory familiar running powershell script intermediate familiar sap hana application required active directory sharepoint preferred remote server administration offshore nice microsoft identity manager mim administration sailpoint iiq culture deloitte global people valued respected opportunity bring unique perspective talent passion business challenge global workspace creates room individuality collaboration inclusive supportive connected culture focus development flexibility culture make deloitte global one rewarding place transform career professional development employee senior leader believe investing helping identify hone unique strength every step career offer opportunity build new skill take leadership opportunity connect grow mentorship learning formal development program professional variety opportunity continue grow throughout career benefit deloitte value people offer employee broad range benefit total reward program reflects continued commitment lead front everything take pride offering comprehensive variety program resource support health hybrid remote may option start job application click apply show
5,Identity and Access Management (IDAM) Administrator,administrator,gcyber hiring identity access management idam administrator support deployment configuration management cloud identity access management idam solution ultimately serve identity service idaas platform supporting defense intelligence community information sharing need idam administrator monitor health status perform operation maintenance identity management system active directory active directory federation service adfs microsoft identity manager mim aws identity manager configure maintain aws iam federated sign adfs implement maintain access control support alignment principle troubleshoot incident assist transitioning new idaas capability engineering team production support backup recovery operation location full time onsite arlington va minimum qualification bachelor degree year additional year relevant accepted lieu degree active directory federation protocol saml oauth openid understanding zero trust principle cloud identity management service aws identity manager preferred must active top secret clearance able obtain clearance ci polygraph one following certification must obtained within day hire amazon system operation certification amazon developer certification dod iat ii certification higher ccna security gicsp gsec cnd sscp http gcyber equal opportunity employer mean worry whether application process fair consider applicant without regard race color religion age ancestry ethnicity gender gender identity gender expression sexual orientation veteran status disability future job notification please follow gcyber job type show le
6,Identity Access Administrator,administrator,responsibility kforce client seeking hire identity access administrator boca raton florida fl summary identity access administrator closely team engineer administrator specialist team responsible infrastructure support identity access tool regular patching vulnerability process followed development done environment change management process followed administrator expected deal directly team customer team comprising identity access security audit governance responsibility include identity access administrator applies policy patch maintain high expectation client security requirement guideline provide solution oversight aspect identity access organization come team solution identity access need identity access administrator vendor ensure environment remain stable issue resolved appropriately perform infrastructure problem resolution assist development documentation technical standard identity access administrator monitor system performance ensure capacity planning performed proactive assessing providing recommendation improvement analyze monitor protocol compatibility perform system tuning provide recommendation improvement identity access administrator perform internal consultant advocate mentor change agent coordinate execute support proof concept program application identity access administrator implement architectural principle approach simple complex system within multiple environment hybrid requirement bachelor degree equivalent year sailpoint access governance connector microsoft active directory azure postman collaboration skill include office sharepoint one drive team yammer zoom identity demonstrates leading edge knowledge concept theory discipline perceived internally externally knowledgeable function demonstrates broad knowledge application architecture complex application extensive knowledge identity access environment ability teach others technical functional knowledge skill needed achieve result high level performance conflict management continuous improvement applies leading edge knowledge drive strategic direction function business partnership functional technical skill versatility oracle hr system knowledge google cloud platform plus kforce equal action employer qualified applicant receive consideration employment without regard race color religion sex pregnancy sexual orientation gender identity national origin age protected veteran status disability status apply job click apply show le
7,Identity and Access Management Administrator,administrator,typical duty responsibility identify develop security access match job requirement adhere least privilege principle manage user lifecycle create modify disable user account requested provided appropriate approval ensure access right updated timely manner user role change update close ticket associated access management request implement improvement automated user access request workflow perform routine access review ensure access resource match job function ensure compliance related industry regulation respond information security audit assist support cyber security team development project team integration program intersect user administration implementation saml sso application troubleshooting existing sso application assist user service team google account management needed develop document user administration audit practice administration azure ad connect application cb required year identity access management active directory administration azure active directory administration hybrid environment implementation administration conditional access control mfa saml federated authentication method powershell scripting use active directory azure ad show le
8,Database Administrator - 100% REMOTE,administrator,sql server database administrator remote healthcare organization seeking seasoned sql server dba responsibility providing operational database service organization production dba role requires service oriented mentality nature dba needed varies day may involve pure maintenance others involve database development typical responsibility include following primary duty ensuring storage archiving recovery procedure appropriate functioning correctly monitoring sql server performance managing parameter provide fast query response user assist maintaining data security standard including adherence data protection act hipaa hitech writing database documentation including server topology data standard procedure definition data dictionary controlling database access permission privilege working closely project manager application developer ensure data warehouse database object design meet current attempt account possible future need communicating regularly technical application operational staff ensure database integrity security standard met maintained position requirement database administration mssql server version higher ssrs ssis transparent data encryption tde planning implementing version upgrade sql server troubleshooting resolving database problem performance tuning optimization pto using native monitoring troubleshooting tool backup restores recovery model knowledge high availability ha disaster recovery dr option sql server implementing operational automation using script knowledge index index management statistic good communication documentation skill preferred candidate may also meet following involvement mssql server community membership pa active forum newsgroups advantage database server sql server certification mcts mcitp mvp mcsa working window server active directory proper disk configuration solid working following external web data service edi data cube business intelligence analytics tfs git perk great benefit sound leadership collaborative team excellent growth opportunity working home office please send detailed resume linkedin profile today equal employment opportunity matrix committed providing environment value diversity equity inclusion respect discriminate based upon race religious creed color national origin ancestry physical mental disability medical condition genetic information marital status including registered domestic partnership status sex including pregnancy childbirth lactation related medical condition gender including gender identity expression age sexual orientation military veteran status characteristic protected federal state local law matrix committed providing access reasonable accommodation qualified individual disability supporting medical religious documentation required applicable qualified individual disability may request reasonable accommodation american disability act ada emailing ensure quick response request please use word subject line email hourly contract role matrix offer highly competitive benefit package including medical dental vision life disability hsa k pre option please see information direct hire placement client benefit offered accordance particular offering may include pto medical dental vision pre option show le
9,LMS Administrator,administrator,need lm administrator support delivery learning material federal employee lm administrator position remote offer opportunity internal growth within established organization lm administrator role includes limited maintain system documentation include user manual configuration document system report manage content type ensure correct format uploaded provide tier ii support various user role attend quarterly support meeting lm vendor coordinate update patch client determine functionality existing courseware patch update applied collaborate lm vendor stakeholder minimize system downtime create update user record assist building accurately assigning role supervisor instructor etc account provide virtual small group training lm user bring table year managing lm include user record account etc management help desk troubleshooting sap success factor lm preferred training coaching instructing others virtually excellent written verbal communication skill proficient microsoft office high degree adaptability flexibility education bachelor degree related field company verified small business focus developing delivering learning solution exceed customer expectation view every customer partner dedicate exceptionally high standard excellence every program every time culture characterized small company feeling personal ownership people enjoy knowing access company leadership make thing happen influence make difference understand make productive contribution life customer position require ability pa background investigation conducted federal government agency drug test u citizenship required benefit offer competitive salary benefit package includes coverage company sponsored life disability insurance paid profit sharing pretax commuter benefit company culture foster collaborative culture people encouraged grow innovate included effort community practice monthly lunch learns weekly allotted professional development time equal opportunity qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin protected veteran status discriminated based disability reasonable accommodation policy show le
