,0
0,·
1,using
2,api
3,connections
4,flat
5,files
6,ingests
7,parse
8,json
9,csv
10,data
11,software
12,connectors
13,·
14,develop
15,connector
16,software
17,windows
18,red
19,hat
20,fuse
21,using
22,java
23,version
24,8
25,blueprint
26,xml
27,xslt
28,camel
29,sql
30,libraries
31,ingests
32,cybersecurity
33,data
34,security
35,sensors
36,sql
37,server
38,database
39,display
40,dashboard
41,·
42,create
43,test
44,plans
45,validate
46,ingest
47,software
48,functionality
49,·
50,create
51,documentation
52,use
53,ingest
54,software
55,·
56,interpret
57,implement
58,functional
59,sensors
60,dashboard
61,·
62,provide
63,support
64,operations
65,teams
66,software
67,deployed
68,production
69,basic
70,·
71,bs
72,computer
73,science
74,related
75,field
76,·
77,4-5
78,years
79,technologies
80,software
81,development
82,using
83,java
84,version
85,8
86,ide
87,e.g
88,eclipse
89,codeready
90,parsing
91,file
92,formats
93,e.g.
94,json
95,xml
96,csv
97,sql
98,server
99,database
100,design
101,programming
102,tuning
103,writing
104,sql
105,queries/procedures
106,developing/automating
107,test
108,procedures
109,web
110,client
111,development
112,using
113,rest
114,api
115,test
116,rest
117,apis
118,command
119,line
120,curl
121,get
122,post
123,put
124,and/or
125,using
126,postman
127,api
128,testing
129,framework
130,release
131,management
132,build
133,tools
134,e.g.
135,maven
136,jenkins
137,configuration
138,tools
139,e.g.
140,svn
141,secure
142,coding
143,including
144,use
145,encryption
146,e.g.
147,certificates
148,tls
149,connections
150,developing
151,windows
152,environment
153,·
154,knowledge
155,data
156,integration
157,data
158,transfer
159,on-premise
160,cloud
161,resources
162,·
163,excellent
164,relationship
165,skills
166,articulate
167,advanced
168,technical
169,topics
170,build
171,consensus
172,among
173,clients
174,technical
175,stakeholders
176,·
177,strong
178,interpersonal
179,collaborations
180,skills
181,working
182,team-oriented
183,environment
184,·
185,strong
186,analytical
187,problem-solving
188,skills
189,·
190,adhere
191,defined
192,processes
193,procedures
194,suggest
195,improvements
196,·
197,effectively
198,prioritize
199,handle
200,multiple
201,tasks
202,simultaneously
203,·
204,strong
205,technical
206,documentation
207,skills
208,preferred
209,·
210,red
211,hat
212,fuse
213,camel
214,blueprint
215,xml
216,xslt
217,programming
218,windows
219,powershell
220,·
221,knowledge
222,emerging
223,cybersecurity
224,technologies
225,mobile
226,asset
227,management
228,identity
229,access
230,management
231,vulnerability
232,management
233,software
234,e.g.
235,mcafee
236,tenable
237,sccm
238,servicenow
239,sailpoint
240,cyberark
241,·
242,jira
243,agile
244,development
245,·
246,overall
247,strong
248,background
249,systems
250,engineering
251,security
252,engineering
253,architecting
254,enterprise
255,integration
256,interoperability
257,complex
258,systems
259,environment
260,·
261,modeling
262,data
263,message
264,service
265,interoperability
266,·
267,understanding
268,technical
269,operational
270,management
271,issues
272,related
273,design
274,development
275,deployment
276,complex
277,distributed
278,systems
279,·
280,understanding
281,interrelationships
282,critical
283,infrastructure
284,protection
285,cybersecurity
286,·
287,familiarity
288,dod
289,cybersecurity
290,programs
291,compliance
292,full-time
293,90.00
294,115.00
295,401
296,program
297,life
298,schedule
299,8
300,tenable
301,security
302,center
303,5
304,years
305,sql
306,5
307,years
308,data
309,warehouse
310,5
311,years
312,xml
313,5
314,years
315,json
316,5
317,years
318,java
319,5
320,years
321,vulnerability
322,management
323,5
324,years
325,identity
326,access
327,management
328,5
329,years
330,xslt
331,5
332,years
333,open
334,supporting
335,100
336,anywhere
337,within
338,us
339,icf
340,data
341,modernization
342,division
343,rapidly
344,growing
345,entrepreneurial
346,technology-driven
347,department
348,seeking
349,motivated
350,sr.
351,servicenow
352,developers
353,levels
354,support
355,upcoming
356,customers
357,data
358,modernization
359,division
360,information
361,technology
362,management
363,consulting
364,department
365,offers
366,integrated
367,strategic
368,solutions
369,public
370,private-sector
371,clients
372,icf
373,expertise
374,agility
375,commitment
376,design
377,build
378,operate
379,high-performance
380,engines
381,support
382,aspects
383,client
384,icf
385,servicenow
386,developers
387,help
388,support
389,mission
390,service
391,operational
392,customers
393,icf
394,servicenow
395,developers
396,wide
397,variety
398,different
399,programs
400,support
401,diverse
402,customer
403,mission
404,areas
405,build
406,solutions
407,support
408,citizen
409,systems
410,help
411,detect
412,fraud
413,waste
414,abuse
415,programs
416,systems
417,help
418,facilitate
419,wireless
420,spectrum
421,auctions
422,systems
423,support
424,citizen
425,engagement
426,regulatory
427,rulemaking
428,processes
429,using
430,servicenow
431,platform
432,also
433,support
434,novel
435,portfolio
436,improving
437,employees
438,access
439,human
440,resources
441,customer
442,management
443,stakeholder
444,engagement
445,capabilities
446,well
447,core
448,service
449,operations
450,management
451,stakeholders
452,formulate
453,system
454,scope
455,objectives
456,prepares
457,detailed
458,specifications
459,application
460,builds
461,assist
462,user
463,story
464,creation
465,grooming
466,coding
467,testing
468,debugging
469,creating
470,technical
471,documentation
472,technical
473,knowledge
474,responsibility
475,phases
476,applications
477,systems
478,analysis
479,programming
480,understands
481,function
482,application
483,designed
484,instructing
485,directing
486,checking
487,technical
488,adept
489,developing
490,front-end
491,portals
492,back-end
493,console
494,development
495,programming
496,languages
497,databases
498,including
499,php
500,html
501,css
502,javascript
503,json
504,building
505,scoped
506,applications
507,skills
508,3+
509,years
510,developing
511,servicenow
512,platform
513,5+
514,years
515,application
516,system
517,technology
518,solution
519,delivery
520,2+
521,years
522,platform
523,customization
524,relevant
525,delivery
526,platforms
527,2+
528,years
529,custom
530,application
531,development
532,including
533,custom
534,service
535,portal
536,widget
537,creation
538,2+
539,years
540,developing
541,customizing
542,core
543,applications
544,incident
545,problem
546,change
547,knowledge
548,service
549,catalog
550,2+
551,years
552,working
553,developing
554,javascript
555,html5
556,jelly
557,jquery
558,angularjs
559,2+
560,years
561,leading
562,mentoring
563,junior
564,servicenow
565,2+
566,years
567,implementing
568,systems
569,using
570,agile/scrum
571,methodology
572,us
573,citizenship
574,government
575,position
576,must
577,able
578,obtain
579,public
580,trust
581,clearance
582,must
583,reside
584,u.s.
585,must
586,performed
587,u.s.
588,contract
589,laws
590,preferred
591,skills
592,integration
593,soap
594,rest
595,json
596,well
597,jdbc
598,file
599,imports
600,integrating
601,servicenow
602,api-led
603,integration
604,platform
605,mulesoft
606,apigee
607,administration
608,servicenow
609,instance
610,including
611,management
612,users
613,groups
614,roles
615,cms
616,development
617,acls
618,rules
