,0
0,abbott is a global healthcare leader that helps people live more fully at all stages of life.
1,"our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines."
2,"our 113,000 colleagues serve people in more than 160 countries."
3,"our location in abbott park, illinois currently has an opportunity for a director, identity and access management."
4,"as part of the infrastructure services leadership team, the director of identity and access management will be responsible for managing the iam operations, programs and staff for all of abbott and its affiliates."
5,"the director is responsible for building, leading, and executing the iam strategies and initiatives along with developing and driving the execution of standard automated and self-service driven processes to enhance the productivity of the abbott workforce while also enhancing its security posture."
6,"in this position, you will work collaboratively with peers and stakeholders to influence technical and business projects to adopt the iam strategies."
7,"additionally, this role will identify and execute on strategies core to internal business processes as well as partnering with external providers and business partners to securely enable their digital access into abbott’s enterprise."
8,this position reports directly to the dvp of infrastructure services and will manage a global team with 4-5 direct reports.
9,"what you’ll do

develop and define the vision, strategy, framework and roadmaps for global identity and access management including sso, federation, mfa, privileged access management, provisioning, access certification and role-based access control
lead a team of professionals to architect, implement and operate, the organization’s identity and access management strategy, inclusive of staying current on the latest identity management trends, understanding business requirements and opportunities for automation, self-service and productivity gains, evaluating technologies to meet these strategies, and continuing to mature the iam program
establish iam continuity strategy to support disaster recovery programs
manage and execute operational activities such as processing of system access requests, supporting new employee orientation, and processing all policy and regulatory required activities
developing and managing key metrics (kpis) and executing on improvements while liaising and managing key vendors to support the overall iam program
assist with iam related audits and handling of internal and external audit requests
provide leadership to support other abbott it projects and operations that require iam services
develop functional goals and objectives
create, track, and manage annual operating, capital, and project budgets


key success for the position:

develop and foster relationships with critical stakeholders throughout abbott information technology teams and business divisions worldwide to effectively manage change
leverage existing processes, or identify opportunities to integrate or develop processes to enable the business to move more quickly and avoid redundant processes
attract and retain talent, and ensure staff development (leadership, cross-functional, technical, global perspective)."
10,"promote and foster diversity
provide access administration, reporting, recertification, audit response, and sla delivery for enterprise it environments
manage an operating budget and project spend with financial discipline; establish and maintain a resource model that can flex as needed


education and experience you’ll bring

bachelor’s degree in information systems, computer science, business or related."
11,master’s degree preferred.
12,"15+ years of various experience in information technology with a minimum of 5 years of management experience related to identity and access management
collaborative and transformational leader striving to improve the enterprise identity and access security
extensive experience with iam operations, development, engineering, architecture, auditing, and delivery including operational management methodologies leveraging itsm principles and devops
experience and demonstrated knowledge of technologies and tools including active directory, azure ad, privileged access management, beyondtrust, sailpoint, cyberark, ping, okta and password vaulting solutions
understanding software development principles for the establishment of new technology capabilities and functionality, the engineering principles for running and managing technology platforms necessary to deliver iam capabilities, and delivery principles for ensuring the timely release of new functionality
experience developing role-based access control strategy and production implementation
experience in defining, implementing, and executing iam shared services across a global enterprise
ability to build and maintain collaborative working relationships with information technology, enterprise security and business personnel to design and execute appropriate controls
support governance, risk and compliance and enterprise security efforts and initiatives
extensive experience working with it vendors, suppliers and managed services providers
ability to bring insight, knowledge, best practices and feedback to strategic discussions
excellent presentation, communication, negotiation, influence and collaboration skills
demonstrated ability to effectively communicate technical and business issues and solutions to multiple organizational levels internally and externally
strong leadership and organizational skills with the ability to adapt quickly to changing priorities and assignments

what we offer

at abbott, you can have a good job that can grow into a great career."
13,"we offer:

training and career development, with onboarding programs for new employees and tuition assistance
financial security through competitive compensation, incentives and retirement plans
health care and well-being programs including medical, dental, vision, wellness and occupational health programs
paid time off
401(k) retirement savings with a generous company match
the stability of a company with a record of strong financial performance and history of being actively involved in local communities

learn more about our benefits that add real value to your life to help you live fully: www.abbottbenefits.com

follow your career aspirations to abbott for diverse opportunities with a company that provides the growth and strength to build your future."
14,"abbott is an equal opportunity employer, committed to employee diversity."
15,"connect with us at www.abbott.com, on facebook at www.facebook.com/abbott and on twitter @abbottnews and @abbottglobal

to apply to this job, click apply now

show less our company

changing the world through digital experiences is what adobe’s all about."
16,we give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences!
17,"we’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen."
18,we’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity.
19,"we realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!"
20,"our team
do you aspire to become a coo or gm someday?"
21,"if yes, we would love to talk to you."
22,we are the central business strategy and operations team reporting to the digital media bu president.
23,"our scope is across all functions, all customer segments and all product categories with the goal of building the business for the next decade and beyond."
24,"we operate around 3 pillars: business strategy & insights, business operations and operations excellence."
25,"what you'll do
run the business: architect and optimize the business cadence and metrics that matter."
26,"set goals around headcount, budget and okrs while driving accountability and visibility across the organization."
27,"set the vision, plan and deliver on key forums such as qbrs, okr reviews, and all hands."
28,strategy planning: lead the strategic and operations planning process across the portfolio.
29,"you will define the framework, cadence, calendar and executions."
30,"strategic projects: identify, structure and champion key critical initiatives to drive the business and partner with cross-functional teams across the organization to deliver them."
31,thought leadership : influence senior collaborators and the business strategy by providing key insights.
32,drive alignment across leadership.
33,"be a change agent: challenge the status quo by finding new, better ways operate and lead the charge in setting up dme’s strategy and operations for the next decade."
34,"what you'll need to succeed
background : 10+ years of experience in business operations or management consulting
strategic problem solver: you are a strong strategic problem solver that can zoom out to see the big picture and then zoom in to deep dive into the details."
35,"you can quickly identify the problem to solve, create a framework around it and then set it in motion."
36,"you have enough product depth to understand our customer journeys, and are “dangerous” enough on the business side to glean insight from our sales outlook and financial metrics."
37,analytical: you are comfortable building / being in financial models.
38,"you are not afraid to dive into a data set and can tease apart maus, funnel metrics or churn rates equally."
39,storytelling: you can easily take strategy and insights and craft a narrative around it that brings others along for the ride.
40,get stuff done: you don’t stop at framing up the problem and the data.
41,"you know that ideas are worth nothing without execution, so you create aggressive, yet realistic plans."
42,you collaborate with key partners to ensure we are considering all the right inputs.
43,"communications and influence: you create crisp, clear and concise communication - both written and verbal."
44,"you can influence without direct authority
leadership: ability to work with sr. leaders."
45,"you build relationships, set a roadmap and shepherd others to follow it, and while making it a fun journey."
46,thrive in ambiguity: you are flexible and agile.
47,you welcome ambiguity as an opportunity to give shape and scope to problems.
48,"get to know the team

at adobe, you will be immersed in an exceptional work environment that is recognized around the world ."
49,you will also be surrounded by colleagues who are committed to helping each other grow through our unique check-in approach where ongoing feedback flows freely.
50,"if you’re looking to make an impact, adobe's the place for you."
51,discover what our employees are saying about their career experiences on the adobe life blog and explore the meaningful benefits we offer.
52,adobe is an equal opportunity employer.
53,"we hire hard working individuals, regardless of gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, or veteran status."
54,"we know that when our employees feel appreciated and included, they can be more creative, innovative and successful."
55,this is what it means to be adobe for all.
56,learn more about our vision here .
57,"we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment."
58,please contact us to request accommodation.
59,"apply now: click apply now

show less 
reportour company

changing the world through digital experiences is what adobe’s all about."
60,we give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences!
61,"we’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen."
62,we’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity.
63,"we realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!"
64,"our team
do you aspire to become a coo or gm someday?"
65,"if yes, we would love to talk to you."
66,we are the central business strategy and operations team reporting to the digital media bu president.
67,"our scope is across all functions, all customer segments and all product categories with the goal of building the business for the next decade and beyond."
68,"we operate around 3 pillars: business strategy & insights, business operations and operations excellence."
69,"what you'll do
business growth: you will drive strategic projects that move the needle for the business such as enabling our market intelligence, evaluating key m&a targets, finding opportunities for organic growth across the portfolio."
70,business strategy: ensure clarity across the portfolio on business priorities.
71,partner with the business leaders to assess different business models and commercial initiatives.
72,"business analytics & insights: proactively identify, track and share business insights to inform the business direction by using both data analysis and business judgment."
73,thought leadership : influence senior collaborators and the business strategy by providing key insights.
74,drive alignment across leadership.
75,"be a change agent: challenge the status quo by finding new, better ways to run the business and lead the charge in setting up dme’s strategy and operations for the next decade."
76,"what you'll need to succeed
background : 10+ years of experience in business strategy or management consulting
strategic problem solver: you are a strong strategic problem solver that can zoom out to see the big picture and then zoom in to deep dive into the details."
77,"you can quickly identify the problem to solve, create a framework around it and then set it in motion."
78,"you have enough product depth to understand our customer journeys, and are “dangerous” enough on the business side to glean insight from our sales outlook and financial metrics."
79,analytical: you are comfortable building / being in financial models.
80,"you are not afraid to dive into a data set and can tease apart maus, funnel metrics or churn rates equally."
81,storytelling: you can easily take strategy and insights and craft a narrative around it that brings others along for the ride.
82,get stuff done: you don’t stop at framing up the problem and the data.
83,"you know that ideas are worth nothing without execution, so you create aggressive, yet realistic plans."
84,you collaborate with key partners to ensure we are considering all the right inputs.
85,"communications and influence: you create crisp, clear and concise communication - both written and verbal."
86,"you can influence without direct authority
leadership: ability to work with sr. leaders."
87,"you build relationships, set a roadmap and shepherd others to follow it, and while making it a fun journey."
88,thrive in ambiguity: you are flexible and agile.
89,you welcome ambiguity as an opportunity to give shape and scope to problems.
90,"get to know the team

at adobe, you will be immersed in an exceptional work environment that is recognized around the world ."
91,you will also be surrounded by colleagues who are committed to helping each other grow through our unique check-in approach where ongoing feedback flows freely.
92,"if you’re looking to make an impact, adobe's the place for you."
93,discover what our employees are saying about their career experiences on the adobe life blog and explore the meaningful benefits we offer.
94,adobe is an equal opportunity employer.
95,"we hire hard working individuals, regardless of gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, or veteran status."
96,"we know that when our employees feel appreciated and included, they can be more creative, innovative and successful."
97,this is what it means to be adobe for all.
98,learn more about our vision here .
99,"we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment."
100,please contact us to request accommodation.
101,"to apply to this job, click apply now

show less 
reportjob description summary:

we currently have a career opportunity for director of global information security - identity and access management (iam)."
102,this is a key leadership role where you will have the opportunity to take on the next phase of iam.
103,in this role you will be reporting directly to the global chief information security officer.
104,"this position is responsible and leads all aspects of identity and access management by providing exceptional iam solutions, services, and operations to secure our global footprint."
105,we are looking for an individual with a passion for cyber security to work alongside a talented team.
106,"as director of iam, you will build and lead the team personally responsible for architecting, implementing, and maintaining all identities (both customer and internal) across the entire enterprise including responsibility for the entire identity lifecycle."
107,"the role requires you to have a strong background and understanding of all cyber security domains and the ability to work under compliance and frameworks such as sox, nydfs, gdpr, and others such as audits by the dutch national bank."
108,"you will simplify and provide value to the business by centralizing requests, automated provisioning, role mining, and rbac/abac (role-based access controls, attribute-based access controls)."
109,"directory governance is another area where you will be raising the bar on the health and use of the active directories, as well as building out metric/reporting to show the reduction of risk and security posture improvements that have been made."
110,"there are also projects throughout the technology organization to consolidate/simplify and decommission legacy systems that are already underway, and you will drive the adoption and business to the iam team."
111,"we already have strong executive buy- in and support from our leaders, and this is a terrific opportunity to move things forward in iam."
112,"what you will do:

develop and define the vision, strategy, framework and roadmaps for global identity and access management."
113,build and lead a global cyber security iam team to implement and operate aegon’s identity and access management strategy.
114,"strategy includes authentication, directory services, federation, privileged access management, automated provisioning, compliance access attestation processes, identity and access analytics."
115,support web access firewalls and integrate load-balancing on our f5 infrastructure.
