,0
0,7+
1,years
2,product
3,management
4,technical
5,program
6,management
7,related
8,industry
9,bachelor
10,degree
11,engineering
12,computer
13,science
14,related
15,technical
16,field
17,additional
18,years
19,related
20,field
21,stakeholder
22,management
23,working
24,engineering
25,teams
26,present
27,products
28,demonstrate
29,integration
30,use
31,understanding
32,software
33,development
34,lifecycle
35,sdlc
36,demonstrated
37,written
38,skills
39,present
40,large
41,groups
42,managing
43,large
44,cross-functional
45,projects
46,significant
47,technical
48,depth
49,understanding
50,distributed
51,systems
52,engineering
53,summary
54,know
55,protecting
56,sensitive
57,data
58,fine-grained
59,access
60,control
61,fgac
62,big
63,data
64,attribute-based
65,access
66,control
67,abac
68,context
69,based
70,authorization
71,amazon
72,security
73,build
74,access
75,policy
76,management
77,systems
78,enable
79,amazon
80,teams
81,fgac
82,sensitive
83,data
84,build
85,products
86,context
87,based
88,authorization
89,solve
90,problem
91,over-permissioning
92,protect
93,amazon
94,customer
95,seller
96,vendor
97,information
98,constantly
99,changing
100,abuse
101,actor
102,behaviors
103,patterns
104,newly
105,created
106,organization
107,rare
108,engage
109,multiple
110,amazon
111,organizations
112,groups
113,experienced
114,tech
115,leaders
116,build
117,products
118,impact
119,impressive
120,scale
121,hundreds
122,thousands
123,key
124,looking
125,principal
126,product
127,manager
128,technical
129,pm-t
130,drive
131,scoping
132,delivering
133,projects
134,end-to-end
135,identifying
136,stakeholders
137,driving
138,set
139,roadmaps
140,strategies
141,program
142,driving
143,delivery
144,reporting
145,holding
146,bar
147,product
148,quality
149,handle
150,complex
151,inter-team
152,dependencies
153,bridge
154,gaps
155,technical
156,management
157,learn
158,various
159,amazon
160,technologies
161,successful
162,candidates
163,position
164,must
165,strong
166,product
167,management
168,background
169,demonstrated
170,leading
171,medium
172,large
173,projects
174,must
175,possess
176,strong
177,written
178,skills
179,self-driven
180,deliver
181,high
182,quality
183,results
184,fast-paced
185,environment
186,background
187,software
188,architecture
189,technical
190,management
191,communicate
192,effectively
193,technical
194,non-technical
195,demonstrated
196,prioritize
197,push
198,forward
199,ambiguous
200,environment
201,base
202,position
203,city
204,"197,900"
205,"267,800"
206,may
207,include
208,care
209,discounts
210,401
211,plans
212,information
213,provided
214,city
215,human
216,rights
217,base
218,information
219,based
220,market
221,via
222,amazon
223,internal
224,external
225,careers
226,site
227,amazon
228,committed
229,diverse
230,inclusive
231,workplace
232,amazon
233,discriminate
234,basis
235,identity
236,legally
237,would
238,like
239,request
240,https
241,//www.amazon.jobs/en/disability/us
242,workers
243,city
244,perform
245,in-person
246,interact
247,public
248,course
249,must
250,proof
251,fully
252,vaccinated
253,covid
254,request
255,approval
256,including
257,religious
258,bristol
259,myers
260,squibb
261,inspired
262,single
263,–
264,transforming
265,patients
266,lives
267,science
268,oncology
269,hematology
270,immunology
271,cardiovascular
272,disease
273,–
274,diverse
275,promising
276,pipelines
277,industry
278,–
279,passionate
280,colleagues
281,contribute
282,innovations
283,drive
284,meaningful
285,change
286,bring
287,human
288,touch
289,treatment
290,pioneer
291,us
292,make
293,difference
294,summary
295,bms
296,seeking
297,experienced
298,identity
299,access
300,management
301,manager
302,provide
303,design
304,implementation
305,support
306,identity
307,access
308,management
309,technical
310,role
311,equally
312,dedicated
313,passionate
314,engineers
315,supporting
316,design
317,development
318,implementation
319,support
320,authentication
321,authorization
322,web
