Skills Community,Category,Specialty Area,Work Role,Competency Group ID,Competency Group,Competency ID,Competency,K S or A,KSA ID,KSA
Cross Functional,Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),CG01,Technical,C001,Asset / Inventory Management,Ability,A0130,Ability to ensure that senior officials within the organization provide information security for the information and systems that support the operations and assets under their control.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG02,Operational,C002,Business Continuity,Knowledge,K0021,Knowledge of data backup and recovery.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG02,Operational,C002,Business Continuity,Skill,S0032,"Skill in developing, testing, and implementing network infrastructure contingency and recovery plans."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG02,Operational,C003,Client Relationship Management,Ability,A0016,Ability to facilitate small group discussions.
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0118,Knowledge of processes for seizing and preserving digital evidence.
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0128,Knowledge of types and collection of persistent data.
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C005,Computer Forensics,Skill,S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C005,Computer Forensics,Skill,S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data."
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C005,Computer Forensics,Ability,A0175,Ability to examine digital media on multiple operating system platforms.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C005,Computer Forensics,Skill,S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)."
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0017,Knowledge of concepts and practices of processing digital forensic data.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0017,Knowledge of concepts and practices of processing digital forensic data.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0118,Knowledge of processes for seizing and preserving digital evidence.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0122,"Knowledge of investigative implications of hardware, Operating Systems, and network technologies."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0128,Knowledge of types and collection of persistent data.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0132,"Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0133,Knowledge of types of digital forensics data and how to recognize them.
