role,KSA ID,description
Ability,A0130,Ability to ensure that senior officials within the organization provide information security for the information and systems that support the operations and assets under their control.
Ability,A0016,Ability to facilitate small group discussions.
Ability,A0175,Ability to examine digital media on multiple operating system platforms.
Ability,A0005,Ability to decrypt digital data collections.
Ability,A0056,Ability to ensure security practices are followed throughout the acquisition process.
Ability,A0031,Ability to conduct and implement market research to understand government and industry capabilities and appropriate pricing.
Ability,A0070,Ability to apply critical reading/thinking skills.
Ability,A0106,Ability to think critically.
Ability,A0085,Ability to exercise judgment when policies are not well-defined.
Ability,A0083,"Ability to evaluate information for reliability, validity, and relevance."
Ability,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Ability,A0110,Ability to monitor advancements in information privacy laws to ensure organizational adaptation and compliance.
Ability,A0111,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives. "
Ability,A0115,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives."
Ability,A0125,Ability to author a privacy disclosure statement based on current laws.
Ability,A0037,Ability to leverage best practices and lessons learned of external organizations and academic institutions dealing with cyber issues.
Ability,A0113,Ability to determine whether a security incident violates a privacy principle or legal standard requiring specific legal action.
Ability,A0105,Ability to tailor technical and planning information to a customer’s level of understanding.
Ability,A0023,Ability to design valid and reliable assessments.
Ability,A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise."
Ability,A0094,"Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives."
Ability,A0055,"Ability to operate common network tools (e.g., ping, traceroute, nslookup)."
Ability,A0058,"Ability to execute OS command line (e.g., ipconfig, netstat, dir, nbtstat)."
Ability,A0104,Ability to select the appropriate implant to achieve operational goals.
Ability,A0011,Ability to answer questions in a clear and concise manner.
Ability,A0012,Ability to ask clarifying questions.
Ability,A0118,"Ability to understand technology, management, and leadership issues related to organization processes and problem solving."
Ability,A0119,Ability to understand the basic concepts and issues related to cyber and its organizational impact.
Ability,A0117,"Ability to relate strategy, business, and technology in the context of organizational dynamics."
Ability,A0033,"Ability to develop policy, plans, and strategy in compliance with laws, regulations, policies, and standards in support of organizational cyber activities."
Ability,A0034,"Ability to develop, update, and/or maintain standard operating procedures (SOPs)."
Ability,A0013,"Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. "
Ability,A0018,Ability to prepare and present briefings.
Ability,A0009,Ability to apply supply chain risk management standards.
Ability,A0028,Ability to assess and forecast manpower requirements to meet organizational objectives.
Ability,A0116,Ability to prioritize and allocate cybersecurity resources correctly and efficiently.
Ability,A0129,Ability to ensure information security management processes are integrated with strategic and operational planning processes.
Ability,A0063,"Ability to operate different electronic communication systems and methods (e.g., e-mail, VOIP, IM, web forums, Direct Video Broadcasts)."
Ability,A0004,Ability to develop curriculum that speaks to the topic at the appropriate level for the target audience.
Ability,A0022,Ability to apply principles of adult learning.
Ability,A0024,Ability to develop clear directions and instructional materials.
Ability,A0032,Ability to develop curriculum for use within a virtual environment.
Ability,A0054,Ability to apply the Instructional System Design (ISD) methodology.
Ability,A0057,Ability to tailor curriculum that speaks to the topic at the appropriate level for the target audience.
Ability,A0114,Ability to develop or procure curriculum that speaks to the topic at the appropriate level for the target.
Ability,A0171,Ability to conduct training and education needs assessment.
Ability,A0006,"Ability to prepare and deliver education and awareness briefings to ensure that systems, network, and data users are aware of and adhere to systems security policies and procedures."
Ability,A0017,Ability to gauge learner understanding and knowledge level.
Ability,A0020,Ability to provide effective feedback to students for improving learning.
Ability,A0112,Ability to monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.
Ability,A0046,"Ability to monitor and assess the potential impact of emerging technologies on laws, regulations, and/or policies."
Ability,A0003,Ability to determine the validity of technology trend data.
Ability,A0039,Ability to oversee the development and update of the life cycle cost estimate.
Ability,A0045,Ability to evaluate/ensure the trustworthiness of the supplier and/or product.
Ability,A0015,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.
Ability,A0174,Ability to find and navigate the dark web using the TOR network to locate markets and forums.
Ability,A0042,Ability to develop career path opportunities.
Ability,A0053,Ability to determine the validity of workforce trend data.
Ability,A0019,Ability to produce technical documentation.
Ability,A0014,Ability to communicate effectively when writing.
Ability,A0099,"Ability to perform network collection tactics, techniques, and procedures to include decryption capabilities/tools."
Ability,A0100,Ability to perform wireless collection procedures to include decryption capabilities/tools.
Ability,A0096,Ability to interpret and understand complex and rapidly evolving concepts.
Ability,A0087,Ability to focus research efforts to meet the customer’s decision-making needs.
Ability,A0101,Ability to recognize and mitigate cognitive biases which may affect analysis.
Ability,A0108,Ability to understand objectives and effects.
Ability,A0084,"Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products."
Ability,A0090,Ability to identify external partners with common cyber operations interests.
Ability,A0091,Ability to identify intelligence gaps.
Ability,A0102,Ability to recognize and mitigate deception in reporting and analysis.
Ability,A0109,Ability to utilize multiple intelligence sources across all intelligence disciplines.
Ability,A0082,Ability to effectively collaborate via virtual teams.
Ability,A0074,Ability to collaborate effectively with others.
Ability,A0067,"Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment."
Ability,A0098,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary."
Ability,A0088,"Ability to function effectively in a dynamic, fast-paced environment."
Ability,A0097,Ability to monitor system operations and react to events in response to triggers and/or observation of trends or unusual activity. 
Ability,A0077,Ability to coordinate cyber operations with other organization functions or support activities.
Ability,A0072,Ability to clearly articulate intelligence requirements into well-formulated research questions and data tracking variables for inquiry tracking purposes.
Ability,A0081,Ability to develop or recommend planning solutions to problems and situations for which no precedent exists.
Ability,A0080,Ability to develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
Ability,A0095,Ability to interpret and translate customer requirements into operational action.
Ability,A0086,Ability to expand network access by conducting target analysis and collection to identify targets of interest.
Ability,A0093,Ability to identify/describe techniques/methods for conducting technical exploitation of the target.
Ability,A0107,Ability to think like threat actors.
Ability,A0092,Ability to identify/describe target vulnerability.
Ability,A0068,Ability to apply approved planning development and staffing processes.
Ability,A0073,Ability to clearly articulate intelligence requirements into well-formulated research questions and requests for information.
Ability,A0148,"Ability to serve as the primary liaison between the enterprise architect and the systems security engineer and coordinates with system owners, common control providers, and system security officers on the allocation of security controls as system-specific, hybrid, or common controls."
Ability,A0043,Ability to conduct forensic analyses in and for both Windows and Unix/Linux environments.
Ability,A0044,"Ability to apply programming language structures (e.g., source code review) and logic."
Ability,A0128,Ability to apply techniques for detecting host and network-based intrusions using intrusion detection technologies.
Ability,A0161,"Ability to integrate information security requirements into the acquisition process; using applicable baseline security controls as one of the sources for security requirements; ensuring a robust software quality control process; and establishing multiple sources (e.g., delivery routes, for critical system elements)."
Ability,A0021,"Ability to use and understand complex mathematical concepts (e.g., discrete math)."
Ability,A0163,"Ability to interpret Communications Security (COMSEC) terminology, guidelines and procedures."
Ability,A0164,Ability to identify the roles and responsibilities for appointed Communications Security (COMSEC) personnel.
Ability,A0165,"Ability to manage Communications Security (COMSEC) material accounting, control and use procedure."
Ability,A0167,Ability to recognize the importance of auditing Communications Security (COMSEC) material and accounts.
Ability,A0168,Ability to Identify the requirements of In-Process accounting for Communications Security (COMSEC).
Ability,A0177,Ability to recognize the unique aspects of the Communications Security (COMSEC) environment and hierarchy.
Ability,A0008,"Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF])."
Ability,A0061,Ability to design architectures and frameworks.
Ability,A0027,Ability to apply an organization's goals and objectives to develop and maintain architecture.
Ability,A0166,Ability to identify types of Communications Security (COMSEC) Incidents and how they’re reported.
Ability,A0121,Ability to design incident response for cloud service models.
Ability,A0123,"Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)."
Ability,A0048,"Ability to apply network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth)."
Ability,A0172,Ability to set up a physical or logical sub-networks that separates an internal local area network (LAN) from other untrusted networks.
Ability,A0170,Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
Ability,A0038,Ability to optimize systems to meet enterprise performance requirements.
Ability,A0069,Ability to apply collaborative skills and strategies.
Ability,A0159,"Ability to interpret the information collected by network tools (e.g. Nslookup, Ping, and Traceroute)."
Ability,A0040,Ability to translate data and test results into evaluative conclusions.
Ability,A0035,Ability to dissect a problem and examine the interrelationships between data that may appear unrelated.
Ability,A0120,Ability to share meaningful insights about the context of an organization’s threat environment that improve its risk management posture.
Ability,A0036,Ability to identify basic common coding flaws at a high level.
Ability,A0149,"Ability, in close coordination with system security officers, advise authorizing officials, chief information officers, senior information security officers, and the senior accountable official for risk management/risk executive (function), on a range of security-related issues (e.g. establishing system boundaries; assessing the severity of weaknesses and deficiencies in the system; plans of action and milestones; risk mitigation approaches; security alerts; and potential adverse effects of identified vulnerabilities)."
Ability,A0049,"Ability to apply secure system design tools, methods and techniques."
Ability,A0050,"Ability to apply system design tools, methods, and techniques, including automated systems analysis and design tools."
Ability,A0026,Ability to analyze test data.
Ability,A0030,"Ability to collect, verify, and validate test data."
Ability,A0010,Ability to analyze malware.
Ability,A0001,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data.
Ability,A0029,Ability to build complex data structures and high-level programming languages.
Ability,A0041,"Ability to use data visualization tools (e.g., Flare, HighCharts, AmCharts, D3.js, Processing, Google Visualization API, Tableau, Raphael.js)."
Ability,A0176,"Ability to maintain databases. (i.e., backup, restore, delete data, transaction log files, etc.)."
Ability,A0060,Ability to build architectures and frameworks.
Ability,A0122,Ability to design capabilities to find solutions to less common and more complex system problems.
Ability,A0025,"Ability to accurately define incidents, problems, and events in the trouble ticketing system."
Ability,A0062,Ability to monitor measures or indicators of system performance and availability.
Ability,A0002,Ability to match the appropriate knowledge repository technology for a given application or environment.
Ability,A0052,"Ability to operate network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware."
Ability,A0059,Ability to operate the organization's LAN/WAN pathways.
Ability,A0065,Ability to monitor traffic flows across the network.
Ability,A0064,Ability to interpret and translate customer requirements into operational capabilities. 
Ability,A0124,Ability to establish and maintain automated security control assessments
Ability,A0047,"Ability to develop secure software according to secure software deployment methodologies, tools, and practices."
Ability,A0007,Ability to tailor code analysis for application-specific concerns.
Ability,A0051,Ability to execute technology integration processes.
Ability,A0079,Ability to correctly employ each organization or element into the collection plan and matrix.
Ability,A0078,"Ability to coordinate, collaborate and disseminate information to subordinate, lateral and higher-level organizations."
Ability,A0160,"Ability to translate, track, and prioritize information needs and intelligence collection requirements across the extended enterprise."
Ability,A0071,Ability to apply language and cultural expertise to analysis.
Ability,A0076,Ability to coordinate and collaborate with analysts regarding surveillance requirements and essential information development.
Ability,A0103,Ability to review processed target language materials for accuracy and completeness.
Knowledge,K0021,Knowledge of data backup and recovery.
Knowledge,K0118,Knowledge of processes for seizing and preserving digital evidence.
Knowledge,K0128,Knowledge of types and collection of persistent data.
Knowledge,K0017,Knowledge of concepts and practices of processing digital forensic data.
Knowledge,K0122,"Knowledge of investigative implications of hardware, Operating Systems, and network technologies."
Knowledge,K0132,"Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files."
Knowledge,K0133,Knowledge of types of digital forensics data and how to recognize them.
Knowledge,K0134,Knowledge of deployable forensics.
Knowledge,K0182,"Knowledge of data carving tools and techniques (e.g., Foremost)."
Knowledge,K0184,"Knowledge of anti-forensics tactics, techniques, and procedures."
Knowledge,K0185,"Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark)."
Knowledge,K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.
Knowledge,K0110,"Knowledge of adversarial tactics, techniques, and procedures."
Knowledge,K0157,"Knowledge of cyber defense and information security policies, procedures, and regulations."
Knowledge,K0234,"Knowledge of full spectrum cyber capabilities (e.g., defense, attack, exploitation)."
Knowledge,K0109,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage)."
Knowledge,K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
Knowledge,K0257,Knowledge of information technology (IT) acquisition/procurement requirements.
Knowledge,K0270,Knowledge of the acquisition/procurement life cycle process.
Knowledge,K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.
Knowledge,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Knowledge,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Knowledge,K0615,Knowledge of privacy disclosure statements based on current laws.
Knowledge,K0066,Knowledge of Privacy Impact Assessments.
Knowledge,K0305,Knowledge of data concealment (e.g. encryption algorithms and steganography).
Knowledge,K0101,Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
Knowledge,K0047,Knowledge of information technology (IT) architectural concepts and frameworks.
Knowledge,K0200,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL])."
Knowledge,K0313,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development)."
Knowledge,K0233,"Knowledge of the National Cybersecurity Workforce Framework, work roles, and associated tasks, knowledge, skills, and abilities."
Knowledge,K0007,"Knowledge of authentication, authorization, and access control methods."
Knowledge,K0231,"Knowledge of crisis management protocols, processes, and techniques. "
Knowledge,K0042,Knowledge of incident response and handling methodologies.
Knowledge,K0150,"Knowledge of enterprise incident response program, roles, and responsibilities."
Knowledge,K0246,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications."
Knowledge,K0287,Knowledge of an organization's information classification program and procedures for information compromise.
Knowledge,K0120,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise."
Knowledge,K0004,Knowledge of cybersecurity and privacy principles.
Knowledge,K0145,Knowledge of security event correlation tools.
Knowledge,K0179,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth)."
Knowledge,K0319,Knowledge of technical delivery capabilities and their limitations.
Knowledge,K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies. "
Knowledge,K0114,"Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, digital scanners, electronic organizers, hard drives, memory cards, modems, network components, networked appliances, networked home control devices, printers, removable storage devices, telephones, copiers, facsimile machines, etc.)."
Knowledge,K0296,"Knowledge of capabilities, applications, and potential vulnerabilities of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware."
Knowledge,K0209,Knowledge of covert communication techniques.
Knowledge,K0312,"Knowledge of intelligence gathering principles, policies, and procedures including legal authorities and restrictions."
Knowledge,K0194,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration. "
Knowledge,K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
Knowledge,K0123,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). 
Knowledge,K0125,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody."
Knowledge,K0155,Knowledge of electronic evidence law.
Knowledge,K0156,Knowledge of legal rules of evidence and court procedure.
Knowledge,K0168,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures."
Knowledge,K0251,"Knowledge of the judicial process, including the presentation of facts and evidence."
Knowledge,K0351,"Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation."
Knowledge,K0267,"Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures."
Knowledge,K0341,Knowledge of foreign disclosure policies and import/export control regulations as related to cybersecurity. 
Knowledge,K0127,"Knowledge of the nature and function of the relevant information structure (e.g., National Information Infrastructure)."
Knowledge,K0196,Knowledge of Import/Export Regulations related to cryptography and other security technologies.
Knowledge,K0060,Knowledge of operating systems.
Knowledge,K0077,Knowledge of server and client operating systems.
Knowledge,K0117,"Knowledge of file system implementations (e.g., New Technology File System [NTFS], File Allocation Table [FAT], File Extension [EXT])."
Knowledge,K0316,"Knowledge of business or military operation plans, concept operation plans, orders, policies, and standing rules of engagement."
Knowledge,K0146,Knowledge of the organization's core business/mission processes.
Knowledge,K0241,"Knowledge of organizational human resource policies, processes, and procedures."
Knowledge,K0613,"Knowledge of who the organization’s operational planners are, how and where they can be contacted, and what are their expectations."
Knowledge,K0239,"Knowledge of media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media."
Knowledge,K0198,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions)."
Knowledge,K0072,Knowledge of resource management principles and techniques.
Knowledge,K0249,"Knowledge of sustainment technologies, processes and strategies."
Knowledge,K0012,Knowledge of capabilities and requirements analysis.
